"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,410","691,434","463,990","198,287","6,591","10,717","79","2,187","9,583","185","9,398","21,976","15,802","512","108","0","0","4,890","664","462","202"
"Congressional District 2 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","673,776","649,319","417,429","206,190","2,240","6,950","174","1,110","15,226","656","14,570","24,457","17,555","897","187","736","0","4,300","782","218","564"
"Congressional District 3 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","710,488","690,024","477,264","187,017","1,239","11,596","49","573","12,286","339","11,947","20,464","10,672","159","48","131","0","7,810","1,644","868","776"
"Congressional District 4 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","685,553","639,588","569,189","48,872","4,937","3,863","211","392","12,124","363","11,761","45,965","24,974","305","1,699","0","0","16,473","2,514","1,871","643"
"Congressional District 5 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,713","681,363","519,259","128,216","5,138","12,854","414","1,324","14,158","71","14,087","37,350","25,351","1,018","0","139","149","9,182","1,511","814","697"
"Congressional District 6 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","700,401","668,760","531,340","110,216","1,222","13,132","119","1,032","11,699","304","11,395","31,641","17,096","1,325","215","319","0","10,599","2,087","1,593","494"
"Congressional District 7 (115th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","672,406","652,289","212,979","423,497","842","6,382","386","1,488","6,715","264","6,451","20,117","9,818","956","715","89","0","5,948","2,591","1,436","1,155"
"Congressional District (at Large) (115th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,795","688,083","448,081","21,192","105,146","48,569","8,699","1,210","55,186","774","54,412","51,712","26,775","915","4,802","816","131","10,069","8,204","2,921","5,283"
"Congressional District 1 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,810","585,333","366,625","17,348","166,567","11,882","3,714","226","18,971","435","18,536","180,477","142,411","438","7,076","370","270","19,911","10,001","4,014","5,987"
"Congressional District 2 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,429","512,485","435,869","26,972","7,763","22,939","1,600","818","16,524","858","15,666","207,944","152,322","1,997","3,493","687","81","36,181","13,183","7,252","5,931"
"Congressional District 3 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","773,297","285,735","199,035","29,996","28,828","13,053","2,523","2,063","10,237","122","10,115","487,562","342,022","3,282","12,929","1,351","0","101,987","25,991","12,675","13,316"
"Congressional District 4 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,214","623,008","570,378","11,901","10,432","11,117","300","211","18,669","789","17,880","148,206","112,899","1,058","3,155","462","258","25,380","4,994","1,863","3,131"
"Congressional District 5 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","822,497","671,951","580,529","24,755","7,140","35,758","827","810","22,132","1,744","20,388","150,546","114,184","959","878","934","168","25,242","8,181","3,868","4,313"
"Congressional District 6 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","783,087","653,276","561,261","18,393","13,096","40,368","784","751","18,623","1,112","17,511","129,811","104,383","1,742","1,943","1,018","0","15,001","5,724","2,136","3,588"
"Congressional District 7 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","833,654","297,290","153,395","83,318","17,887","20,788","1,838","1,363","18,701","501","18,200","536,364","399,933","3,731","6,906","1,055","0","103,991","20,748","8,315","12,433"
"Congressional District 8 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","777,208","626,589","538,745","30,276","5,531","31,873","1,419","1,785","16,960","231","16,729","150,619","103,544","2,011","4,090","420","0","32,492","8,062","3,620","4,442"
"Congressional District 9 (115th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","769,074","558,430","430,802","47,420","17,252","38,032","1,946","4,285","18,693","1,194","17,499","210,644","134,080","2,058","3,008","410","725","60,356","10,007","4,138","5,869"
"Congressional District 1 (115th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,287","698,946","545,445","122,953","2,261","4,917","250","536","22,584","137","22,447","23,341","12,523","770","270","98","0","7,357","2,323","1,363","960"
"Congressional District 2 (115th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,193","724,788","516,926","174,194","1,554","12,613","194","3,408","15,899","81","15,818","40,405","23,549","1,326","232","198","208","11,134","3,758","2,020","1,738"
"Congressional District 3 (115th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","807,421","689,582","603,118","22,968","8,443","24,227","6,499","2,661","21,666","184","21,482","117,839","66,164","505","678","717","0","44,012","5,763","2,197","3,566"
"Congressional District 4 (115th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","709,378","667,199","507,818","135,385","4,643","4,826","1,277","1,024","12,226","442","11,784","42,179","17,764","266","1,029","289","123","21,758","950","257","693"
"Congressional District 1 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,214","617,842","548,018","12,815","11,872","20,141","1,186","833","22,977","469","22,508","100,372","69,394","155","3,240","879","225","20,508","5,971","3,117","2,854"
