"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 2 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,999","591,172","505,726","9,320","11,851","28,081","1,877","6,268","28,049","1,398","26,651","126,827","62,166","267","2,983","186","446","48,813","11,966","3,807","8,159"
"Congressional District 3 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","750,271","523,074","349,558","44,481","5,948","85,648","3,849","1,834","31,756","862","30,894","227,197","158,461","2,202","1,679","1,730","720","48,732","13,673","6,329","7,344"
"Congressional District 4 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","748,410","645,236","562,280","9,164","6,825","39,294","849","929","25,895","361","25,534","103,174","72,113","588","2,143","957","1,500","19,559","6,314","1,781","4,533"
"Congressional District 5 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,438","518,440","354,925","42,933","3,907","81,577","3,471","6,057","25,570","1,444","24,126","213,998","97,230","981","2,269","803","89","97,279","15,347","7,551","7,796"
"Congressional District 6 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","764,344","553,278","279,020","95,212","2,421","119,477","12,514","2,514","42,120","1,151","40,969","211,066","91,247","3,794","3,604","2,364","198","94,865","14,994","7,078","7,916"
"Congressional District 7 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","750,860","613,258","393,018","47,583","2,215","114,855","6,446","1,633","47,508","679","46,829","137,602","77,778","2,554","1,553","1,701","59","40,171","13,786","6,780","7,006"
"Congressional District 8 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,449","411,063","309,827","47,303","6,454","23,794","3,266","676","19,743","283","19,460","310,386","242,758","2,396","3,437","900","91","43,650","17,154","5,892","11,262"
"Congressional District 9 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","774,266","479,502","262,599","66,699","1,859","108,641","3,973","2,154","33,577","2,497","31,080","294,764","143,625","2,431","2,346","3,228","1,492","79,535","62,107","5,993","56,114"
"Congressional District 10 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","758,005","422,274","310,416","23,193","2,269","56,489","5,421","288","24,198","1,332","22,866","335,731","251,571","2,709","2,918","940","386","62,590","14,617","8,191","6,426"
"Congressional District 11 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","764,135","552,689","343,381","56,329","1,117","106,976","2,667","2,727","39,492","1,216","38,276","211,446","111,343","4,164","2,495","2,601","245","74,735","15,863","7,662","8,201"
"Congressional District 12 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","774,736","659,747","327,325","40,311","1,334","251,305","3,158","4,862","31,452","1,187","30,265","114,989","42,430","1,116","1,275","2,614","481","56,434","10,639","5,747","4,892"
"Congressional District 13 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","766,731","595,582","262,748","124,451","2,577","156,990","5,108","4,963","38,745","1,844","36,901","171,149","54,589","3,613","3,120","1,465","133","90,423","17,806","8,827","8,979"
"Congressional District 14 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","756,389","575,228","253,679","20,296","908","256,495","10,765","2,032","31,053","2,030","29,023","181,161","66,665","1,746","2,010","4,260","433","90,254","15,793","8,298","7,495"
"Congressional District 15 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","785,387","608,684","248,720","43,163","2,496","272,987","6,308","940","34,070","1,929","32,141","176,703","82,722","1,638","2,488","1,075","456","74,937","13,387","8,213","5,174"
"Congressional District 16 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,788","279,602","157,594","35,636","3,593","69,003","406","784","12,586","943","11,643","450,186","266,269","1,582","5,477","2,339","250","160,793","13,476","7,257","6,219"
"Congressional District 17 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,078","655,192","171,344","23,041","1,291","425,657","2,967","1,567","29,325","4,040","25,285","115,886","41,758","195","682","728","47","61,553","10,923","5,910","5,013"
"Congressional District 18 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","742,728","619,645","390,672","12,177","2,253","178,477","692","2,504","32,870","1,285","31,585","123,083","74,312","563","2,351","311","270","37,825","7,451","4,048","3,403"
"Congressional District 19 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","770,105","464,845","196,037","17,814","1,727","220,959","3,208","2,671","22,429","713","21,716","305,260","133,780","1,659","5,881","2,199","447","141,720","19,574","9,335","10,239"
"Congressional District 20 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","744,295","347,536","271,048","13,435","963","38,094","1,763","683","21,550","202","21,348","396,759","159,700","1,303","2,099","957","274","222,400","10,026","5,354","4,672"
"Congressional District 21 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,549","177,972","113,547","24,479","1,691","25,120","225","2,317","10,593","686","9,907","545,577","404,760","1,305","4,113","1,854","0","123,765","9,780","3,540","6,240"
"Congressional District 22 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","760,328","388,990","283,561","26,797","3,395","56,750","1,453","1,291","15,743","1,488","14,255","371,338","257,220","1,054","3,287","1,252","138","90,324","18,063","9,466","8,597"
"Congressional District 23 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","745,328","453,818","343,863","40,774","6,113","38,848","1,356","1,082","21,782","850","20,932","291,510","216,726","3,521","3,824","1,367","123","57,858","8,091","4,615","3,476"
"Congressional District 24 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,039","468,822","397,754","11,766","3,073","34,098","516","1,340","20,275","728","19,547","271,217","199,083","1,612","3,989","1,272","75","54,119","11,067","4,763","6,304"
"Congressional District 25 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,740","435,203","291,459","51,022","5,392","63,074","1,190","1,390","21,676","1,063","20,613","286,537","165,586","965","2,971","2,067","503","96,884","17,561","11,120","6,441"
"Congressional District 26 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,091","396,732","312,033","12,734","2,038","48,884","837","922","19,284","819","18,465","335,359","276,267","2,646","5,482","2,872","272","36,167","11,653","4,112","7,541"
"Congressional District 27 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,980","518,609","177,747","29,068","2,114","288,239","1,973","2,074","17,394","892","16,502","199,371","88,142","845","1,821","1,029","192","96,813","10,529","6,791","3,738"
"Congressional District 28 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","719,156","545,278","408,325","22,844","1,137","87,697","308","2,086","22,881","453","22,428","173,878","82,104","1,371","1,634","1,263","169","79,651","7,686","4,648","3,038"
"Congressional District 29 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,745","227,776","140,892","25,818","370","50,475","335","2,067","7,819","294","7,525","485,969","263,447","2,033","2,746","1,069","274","206,613","9,787","4,805","4,982"
"Congressional District 30 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,201","555,065","385,871","34,962","1,275","101,348","725","2,028","28,856","1,454","27,402","216,136","100,735","1,662","2,738","826","277","101,412","8,486","4,603","3,883"
"Congressional District 31 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","762,208","354,410","190,845","80,177","2,574","59,707","1,129","470","19,508","914","18,594","407,798","261,945","4,241","2,620","1,610","34","115,495","21,853","12,525","9,328"
"Congressional District 32 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,317","276,059","103,680","14,210","1,279","141,695","3,627","2,027","9,541","902","8,639","449,258","210,750","1,992","7,267","1,953","305","209,330","17,661","13,622","4,039"
"Congressional District 33 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","705,588","611,623","449,824","21,600","787","103,828","1,112","3,817","30,655","1,037","29,618","93,965","59,512","931","487","1,296","101","24,853","6,785","2,608","4,177"
"Congressional District 34 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","763,303","277,718","85,010","31,181","1,501","145,011","1,756","1,361","11,898","1,492","10,406","485,585","197,513","2,967","6,747","1,743","207","266,595","9,813","5,779","4,034"
"Congressional District 35 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","745,237","225,937","104,132","45,675","1,215","56,283","1,876","2,880","13,876","859","13,017","519,300","237,468","1,961","11,170","2,555","21","247,819","18,306","11,249","7,057"
"Congressional District 36 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","737,403","383,726","304,376","29,159","7,323","27,777","657","1,644","12,790","1,541","11,249","353,677","217,395","5,282","2,658","704","82","112,054","15,502","9,026","6,476"
"Congressional District 37 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,530","433,401","174,956","163,314","611","70,499","654","5,058","18,309","859","17,450","280,129","115,217","4,225","2,005","223","113","151,769","6,577","2,982","3,595"
"Congressional District 38 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,428","285,134","124,604","27,496","2,688","110,640","1,927","3,520","14,259","2,011","12,248","433,294","173,503","2,447","2,135","1,906","430","238,556","14,317","9,098","5,219"
"Congressional District 39 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","736,480","476,020","209,448","16,512","1,004","230,216","1,885","789","16,166","1,063","15,103","260,460","160,034","755","4,240","984","572","80,664","13,211","7,031","6,180"
"Congressional District 40 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,618","88,182","27,762","37,229","1,154","15,479","2,395","622","3,541","181","3,360","650,436","367,655","1,797","3,721","994","221","265,008","11,040","6,611","4,429"
"Congressional District 41 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,770","284,695","155,017","66,720","1,632","44,560","1,572","2,931","12,263","1,284","10,979","481,075","154,941","2,833","3,650","738","404","304,699","13,810","9,271","4,539"
"Congressional District 42 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","826,899","502,141","343,386","48,465","2,045","76,183","2,368","3,345","26,349","618","25,731","324,758","135,983","3,369","2,030","3,316","1,149","157,519","21,392","11,263","10,129"
"Congressional District 43 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","745,656","392,086","99,827","168,996","1,752","99,901","3,643","1,648","16,319","1,121","15,198","353,570","160,787","3,014","4,079","879","330","174,163","10,318","4,713","5,605"
"Congressional District 44 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,097","203,799","46,520","100,360","1,226","41,844","2,468","1,126","10,255","1,011","9,244","513,298","247,096","2,389","3,981","1,281","0","246,291","12,260","6,120","6,140"
"Congressional District 45 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","777,871","636,018","389,485","14,918","2,075","197,705","846","655","30,334","3,479","26,855","141,853","83,073","748","2,484","2,237","107","44,603","8,601","3,028","5,573"
"Congressional District 46 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","734,649","245,533","126,500","12,157","518","94,844","2,129","832","8,553","930","7,623","489,116","252,393","1,460","2,151","1,460","229","220,701","10,722","5,611","5,111"
"Congressional District 47 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,526","471,206","227,407","50,071","1,997","170,698","2,534","542","17,957","944","17,013","252,320","160,762","1,597","3,133","2,421","157","73,829","10,421","4,534","5,887"
"Congressional District 48 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,632","571,895","402,940","7,250","1,669","130,048","2,452","1,910","25,626","933","24,693","149,737","85,424","366","1,421","2,031","261","52,779","7,455","4,011","3,444"
"Congressional District 49 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","747,350","536,831","432,578","18,012","1,852","59,330","1,512","956","22,591","1,278","21,313","210,519","136,647","856","2,223","953","105","52,544","17,191","6,094","11,097"
"Congressional District 50 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","754,388","501,029","415,148","16,555","6,154","37,000","1,327","644","24,201","232","23,969","253,359","162,103","1,763","2,617","821","299","68,303","17,453","9,984","7,469"
"Congressional District 51 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","746,496","217,515","95,909","49,699","2,695","52,771","3,332","599","12,510","167","12,343","528,981","391,497","4,951","4,342","1,683","405","109,901","16,202","6,696","9,506"
"Congressional District 52 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","768,240","655,796","440,403","19,743","2,746","154,169","4,111","3,922","30,702","771","29,931","112,444","69,880","1,055","644","4,147","228","25,169","11,321","5,033","6,288"
"Congressional District 53 (115th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","774,182","526,439","313,892","59,120","905","110,325","3,396","2,409","36,392","928","35,464","247,743","169,574","4,009","3,519","2,276","378","51,554","16,433","6,035","10,398"
"Congressional District 1 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","826,995","599,839","483,583","64,441","3,847","28,507","906","463","18,092","692","17,400","227,156","160,585","1,121","4,166","623","419","51,496","8,746","4,174","4,572"
"Congressional District 2 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","799,734","713,960","660,079","7,976","3,408","25,162","801","1,174","15,360","568","14,792","85,774","69,201","664","1,831","67","114","7,482","6,415","1,445","4,970"
"Congressional District 3 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","749,478","566,414","531,565","4,582","10,517","5,640","965","1,362","11,783","347","11,436","183,064","131,809","1,908","7,731","848","0","33,416","7,352","3,027","4,325"
"Congressional District 4 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","817,251","636,406","585,862","9,921","2,881","18,295","680","2,214","16,553","211","16,342","180,845","147,938","1,229","1,764","232","0","22,729","6,953","3,612","3,341"
"Congressional District 5 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","799,622","668,739","565,481","43,334","4,484","18,597","2,419","2,742","31,682","752","30,930","130,883","81,818","2,156","3,653","226","658","30,117","12,255","6,482","5,773"
"Congressional District 6 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","814,636","650,352","492,365","74,821","2,806","52,746","1,232","2,170","24,212","1,393","22,819","164,284","108,466","2,255","2,435","568","72","41,538","8,950","4,509","4,441"
"Congressional District 7 (115th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","799,438","564,720","503,120","14,425","4,159","27,229","134","1,403","14,250","477","13,773","234,718","198,623","603","3,110","511","0","20,883","10,988","4,170","6,818"
"Congressional District 1 (115th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","710,509","588,876","429,093","103,484","1,322","37,848","0","2,294","14,835","1,293","13,542","121,633","57,215","6,601","632","400","0","45,661","11,124","5,672","5,452"
"Congressional District 2 (115th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","705,217","645,608","574,901","24,871","3,062","23,073","79","1,489","18,133","184","17,949","59,609","30,300","2,455","532","176","85","16,300","9,761","4,150","5,611"
"Congressional District 3 (115th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,547","607,744","463,034","95,104","530","29,666","0","1,954","17,456","502","16,954","108,803","58,980","7,885","647","365","0","31,928","8,998","6,627","2,371"
"Congressional District 4 (115th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","737,616","584,304","444,384","79,265","1,643","41,713","58","1,961","15,280","1,421","13,859","153,312","97,919","3,723","1,079","332","161","44,311","5,787","2,625","3,162"
"Congressional District 5 (115th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,295","582,819","482,282","51,596","929","30,264","0","5,807","11,941","1,255","10,686","135,476","84,905","5,594","892","87","142","39,668","4,188","2,156","2,032"
"Congressional District (at Large) (115th Congress), Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","961,939","872,399","597,917","206,690","2,344","38,404","244","1,545","25,255","626","24,629","89,540","64,167","3,666","385","526","0","16,827","3,969","1,535","2,434"
"Delegate District (at Large) (115th Congress), District of Columbia","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","693,972","617,446","253,416","314,705","1,574","28,056","217","3,746","15,732","388","15,344","76,526","31,120","3,515","116","443","85","36,370","4,877","2,398","2,479"
"Congressional District 1 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","770,361","719,868","561,702","101,106","2,808","19,851","716","1,457","32,228","116","32,112","50,493","26,783","940","141","198","612","16,953","4,866","1,683","3,183"
"Congressional District 2 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","731,845","681,779","552,252","95,763","1,766","12,543","499","1,240","17,716","131","17,585","50,066","39,332","3,731","346","159","0","4,144","2,354","777","1,577"
"Congressional District 3 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,130","662,853","501,010","113,550","2,154","23,679","587","2,023","19,850","94","19,756","76,277","57,571","2,219","454","76","0","8,954","7,003","2,107","4,896"
"Congressional District 4 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","800,494","729,816","595,625","74,357","912","37,227","107","3,184","18,404","732","17,672","70,678","54,478","1,605","367","479","66","8,924","4,759","1,644","3,115"
"Congressional District 5 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,175","671,748","286,826","340,242","1,039","24,119","83","2,338","17,101","498","16,603","57,427","37,898","6,931","869","55","0","10,419","1,255","860","395"
"Congressional District 6 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","764,500","666,952","561,826","75,579","2,414","14,184","83","1,671","11,195","328","10,867","97,548","71,071","3,178","1,065","546","0","19,825","1,863","850","1,013"
"Congressional District 7 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","772,969","572,914","444,342","71,493","933","34,559","130","4,539","16,918","2,004","14,914","200,055","147,859","8,926","1,378","266","78","33,753","7,795","2,580","5,215"
"Congressional District 8 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","756,993","675,070","564,205","69,010","2,195","16,674","1,146","3,511","18,329","1,793","16,536","81,923","65,877","2,444","880","53","0","9,919","2,750","1,707","1,043"
"Congressional District 9 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","868,945","503,717","352,661","102,307","1,777","24,009","813","3,498","18,652","320","18,332","365,228","280,215","15,636","1,873","560","26","49,108","17,810","6,473","11,337"
"Congressional District 10 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","830,014","598,302","295,795","224,719","916","43,768","1,427","12,099","19,578","2,093","17,485","231,712","152,717","14,967","904","211","0","54,939","7,974","3,255","4,719"
"Congressional District 11 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","770,114","691,404","607,909","53,456","4,090","11,040","22","4,545","10,342","739","9,603","78,710","67,078","2,262","0","746","0","5,962","2,662","1,532","1,130"
"Congressional District 12 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","779,151","678,211","600,744","35,470","1,822","21,410","821","2,810","15,134","360","14,774","100,940","84,059","2,970","470","240","0","7,927","5,274","2,719","2,555"
"Congressional District 13 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,650","656,151","516,842","90,859","1,401","25,482","312","2,115","19,140","1,088","18,052","74,499","53,731","2,643","1,579","40","31","11,627","4,848","1,796","3,052"
"Congressional District 14 (115th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
