"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,510","706,048","468,957","192,217","3,736","12,093","774","1,677","26,594","6,821","19,773","29,462","8,550","330","906","36","37","7,887","11,716","10,653","1,063"
"Congressional District 2 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","724,401","686,786","426,205","219,255","1,399","10,160","267","2,354","27,146","4,023","23,123","37,615","10,014","1,054","455","174","29","10,523","15,366","14,286","1,080"
"Congressional District 3 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,373","699,753","489,263","169,238","1,677","11,899","267","1,029","26,380","4,603","21,777","30,620","9,145","675","2,397","0","0","8,764","9,639","9,057","582"
"Congressional District 4 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,049","663,534","581,741","45,572","2,480","5,447","142","1,115","27,037","5,838","21,199","58,515","10,937","107","2,187","0","244","31,862","13,178","10,730","2,448"
"Congressional District 5 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","758,622","705,550","520,127","131,863","1,960","15,285","145","3,333","32,837","4,420","28,417","53,072","9,562","1,436","3,737","116","0","17,177","21,044","17,124","3,920"
