"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,438","693,809","466,435","195,266","6,596","9,803","138","1,107","14,464","239","14,225","23,629","13,520","1,375","764","354","0","7,100","516","257","259"
"Congressional District 2 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","674,920","648,808","407,356","216,531","1,684","8,458","215","2,670","11,894","839","11,055","26,112","16,759","977","414","0","89","6,729","1,144","582","562"
"Congressional District 3 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,896","696,735","481,246","187,384","1,984","12,738","241","1,363","11,779","81","11,698","21,161","13,210","1,229","158","501","133","5,613","317","165","152"
"Congressional District 4 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","687,453","639,722","570,222","50,846","3,039","3,259","721","635","11,000","113","10,887","47,731","26,613","0","238","0","0","19,667","1,213","242","971"
"Congressional District 5 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,858","695,657","528,688","133,018","3,822","12,180","205","1,105","16,639","561","16,078","40,201","23,328","1,981","183","0","150","11,951","2,608","1,417","1,191"
"Congressional District 6 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","699,605","664,043","529,852","111,125","1,250","11,011","0","1,548","9,257","46","9,211","35,562","19,990","563","1,471","59","0","10,942","2,537","1,222","1,315"
"Congressional District 7 (116th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","670,015","645,115","209,156","418,651","989","7,766","0","1,195","7,358","366","6,992","24,900","20,000","605","673","0","0","2,826","796","128","668"
"Congressional District (at Large) (116th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","731,545","678,997","437,714","21,773","113,467","43,322","9,715","2,096","50,910","672","50,238","52,548","32,057","778","2,077","356","208","10,506","6,566","1,919","4,647"
"Congressional District 1 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,088","602,033","377,808","20,352","172,481","11,873","1,474","562","17,483","240","17,243","180,055","124,225","1,680","7,538","647","0","34,320","11,645","3,851","7,794"
"Congressional District 2 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,197","517,940","439,688","28,581","5,981","20,287","1,728","686","20,989","289","20,700","215,257","160,156","3,069","4,123","438","0","33,403","14,068","5,828","8,240"
"Congressional District 3 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","801,531","280,025","198,088","30,889","24,253","13,626","711","840","11,618","295","11,323","521,506","398,875","4,225","12,796","107","200","78,745","26,558","8,741","17,817"
"Congressional District 4 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","825,763","656,405","599,282","13,439","15,447","8,378","783","705","18,371","399","17,972","169,358","125,796","268","3,078","259","0","31,746","8,211","4,088","4,123"
"Congressional District 5 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","849,917","708,930","598,621","32,696","8,364","44,215","466","1,701","22,867","803","22,064","140,987","106,315","1,182","1,026","1,119","0","21,450","9,895","6,326","3,569"
"Congressional District 6 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","814,971","669,053","560,791","23,870","14,590","45,397","1,067","1,636","21,702","1,108","20,594","145,918","112,711","731","575","912","144","22,361","8,484","5,276","3,208"
"Congressional District 7 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","853,856","307,076","172,621","76,958","16,722","20,109","3,948","668","16,050","1,034","15,016","546,780","450,103","7,669","5,016","922","253","70,144","12,673","5,718","6,955"
"Congressional District 8 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","798,544","625,935","530,475","37,592","7,787","28,917","720","886","19,558","629","18,929","172,609","130,912","2,938","2,704","1,187","0","25,754","9,114","4,044","5,070"
"Congressional District 9 (116th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","818,850","600,728","451,839","54,668","23,536","42,400","2,464","2,426","23,395","312","23,083","218,122","163,504","2,922","6,256","928","210","36,409","7,893","3,386","4,507"
"Congressional District 1 (116th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","719,048","694,627","541,914","126,120","1,951","3,775","1,837","280","18,750","198","18,552","24,421","14,766","345","0","0","0","6,002","3,308","1,317","1,991"
"Congressional District 2 (116th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","767,662","726,217","516,348","177,427","2,361","11,921","210","660","17,290","186","17,104","41,445","27,084","1,365","402","0","156","10,731","1,707","259","1,448"
"Congressional District 3 (116th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","829,149","705,344","613,448","25,051","8,402","25,170","8,879","1,525","22,869","565","22,304","123,805","81,735","632","369","186","0","34,547","6,336","3,987","2,349"
