"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","741,374","604,605","529,393","25,432","6,882","22,747","964","325","18,862","530","18,332","136,769","111,017","1,598","2,143","234","0","16,995","4,782","1,889","2,893"
"Congressional District 9 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","741,451","530,668","419,817","36,268","16,658","34,228","3,122","640","19,935","913","19,022","210,783","142,835","1,561","3,392","393","117","56,037","6,448","2,490","3,958"
"Congressional District 1 (113th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,971","706,529","558,552","131,355","2,623","2,945","0","326","10,728","43","10,685","23,442","15,290","262","228","111","0","6,577","974","622","352"
"Congressional District 2 (113th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","751,463","714,165","520,804","162,319","1,664","10,241","182","406","18,549","127","18,422","37,298","26,133","1,475","425","0","0","7,865","1,400","748","652"
"Congressional District 3 (113th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","757,765","654,355","577,495","25,136","8,004","21,527","349","1,578","20,266","803","19,463","103,410","67,584","439","526","352","32","31,882","2,595","1,855","740"
"Congressional District 4 (113th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,174","681,213","521,240","142,419","3,936","4,034","65","435","9,084","159","8,925","38,961","18,628","523","298","0","0","17,884","1,628","932","696"
"Congressional District 1 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","707,992","616,325","552,904","10,021","9,465","18,626","1,222","180","23,907","931","22,976","91,667","59,602","117","1,779","389","187","22,102","7,491","2,874","4,617"
"Congressional District 2 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,816","586,403","508,134","8,941","13,146","25,895","1,089","3,957","25,241","722","24,519","127,413","64,669","1,438","1,453","117","162","53,291","6,283","3,604","2,679"
"Congressional District 3 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","714,407","508,918","349,677","45,051","6,122","72,688","3,510","905","30,965","1,326","29,639","205,489","115,931","1,791","1,973","1,527","186","72,629","11,452","5,772","5,680"
"Congressional District 4 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","703,377","616,693","544,594","7,786","5,773","31,908","879","522","25,231","558","24,673","86,684","54,506","1,473","1,375","380","186","20,475","8,289","3,430","4,859"
"Congressional District 5 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","715,332","522,297","373,970","41,020","4,536","73,660","3,137","537","25,437","572","24,865","193,035","106,490","1,582","3,553","2,496","326","66,919","11,669","5,784","5,885"
"Congressional District 6 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,428","531,949","280,122","86,756","2,918","114,425","8,642","1,491","37,595","1,295","36,300","197,479","110,951","3,106","2,524","1,526","95","64,111","15,166","5,794","9,372"
"Congressional District 7 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,042","596,749","397,091","52,925","3,544","102,843","5,615","911","33,820","2,690","31,130","124,293","79,196","1,075","2,130","1,689","79","27,077","13,047","5,746","7,301"
"Congressional District 8 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","709,384","426,679","332,097","54,199","6,104","16,702","2,147","342","15,088","421","14,667","282,705","203,720","3,779","3,633","891","189","51,329","19,164","11,072","8,092"
"Congressional District 9 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","724,907","453,683","260,273","58,716","2,413","103,884","2,918","442","25,037","1,470","23,567","271,224","134,629","3,126","1,889","1,271","101","95,460","34,748","10,080","24,668"
"Congressional District 10 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,266","420,323","320,501","21,318","2,157","48,030","2,519","2,590","23,208","592","22,616","301,943","189,611","1,971","1,534","1,196","484","90,378","16,769","8,922","7,847"
"Congressional District 11 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,916","540,140","344,697","64,335","1,925","91,343","3,845","2,647","31,348","953","30,395","193,776","115,127","1,326","1,395","978","195","65,370","9,385","5,586","3,799"
"Congressional District 12 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","734,662","620,649","315,200","40,284","1,091","231,474","3,116","4,385","25,099","905","24,194","114,013","55,070","1,812","2,486","957","295","45,239","8,154","5,281","2,873"
"Congressional District 13 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,753","576,265","247,670","132,785","2,643","151,965","4,062","2,344","34,796","981","33,815","156,488","81,247","3,039","2,217","431","175","55,460","13,919","6,609","7,310"
"Congressional District 14 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,245","547,315","257,813","22,596","1,237","229,557","8,221","3,416","24,475","1,501","22,974","173,930","94,785","1,242","703","4,318","427","60,612","11,843","6,716","5,127"
"Congressional District 15 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","734,837","560,184","259,267","40,826","2,009","218,587","7,576","1,266","30,653","1,796","28,857","174,653","98,950","1,888","2,545","935","615","53,783","15,937","8,069","7,868"
"Congressional District 16 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","715,257","289,956","168,080","41,922","3,169","65,221","871","805","9,888","103","9,785","425,301","239,960","1,452","4,436","1,540","233","157,223","20,457","12,975","7,482"
"Congressional District 17 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,118","618,028","192,392","19,310","1,469","376,940","3,397","1,034","23,486","2,025","21,461","114,090","50,415","1,848","1,266","1,450","95","47,221","11,795","7,588","4,207"
"Congressional District 18 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","731,201","606,996","414,646","11,023","927","146,322","2,597","2,415","29,066","1,320","27,746","124,205","83,121","337","630","1,017","3","32,826","6,271","2,647","3,624"
"Congressional District 19 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","746,071","434,816","189,058","24,594","1,101","199,053","2,172","1,079","17,759","1,305","16,454","311,255","138,250","1,950","4,091","1,523","103","146,798","18,540","11,283","7,257"
"Congressional District 20 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,199","347,916","273,191","13,376","1,855","38,477","2,122","534","18,361","1,137","17,224","377,283","293,912","1,055","4,287","1,614","145","66,194","10,076","5,603","4,473"
"Congressional District 21 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","711,414","195,782","129,611","29,125","2,777","23,128","560","653","9,928","345","9,583","515,632","379,338","1,336","3,148","617","245","119,187","11,761","7,133","4,628"
"Congressional District 22 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,271","395,443","298,324","20,852","2,957","57,955","1,218","1,077","13,060","1,201","11,859","334,828","253,855","2,980","5,275","187","0","58,155","14,376","7,767","6,609"
"Congressional District 23 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","726,292","448,700","350,718","40,461","5,664","34,199","870","820","15,968","853","15,115","277,592","205,271","1,522","2,351","1,177","0","59,413","7,858","4,803","3,055"
"Congressional District 24 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,008","468,146","402,765","12,975","2,683","32,070","730","566","16,357","535","15,822","253,862","121,833","1,583","3,507","1,416","0","114,496","11,027","5,971","5,056"
"Congressional District 25 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,815","454,323","318,411","54,605","2,558","53,169","941","1,164","23,475","1,258","22,217","262,492","150,444","1,741","2,481","1,652","0","95,141","11,033","6,261","4,772"
"Congressional District 26 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,804","394,500","313,076","11,610","2,505","49,068","646","498","17,097","491","16,606","318,304","247,991","1,114","2,063","983","196","51,499","14,458","6,393","8,065"
"Congressional District 27 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,835","521,678","196,182","32,774","1,098","274,908","319","1,263","15,134","400","14,734","195,157","96,757","1,058","1,015","1,149","212","87,141","7,825","3,943","3,882"
"Congressional District 28 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","708,212","529,525","395,158","19,442","1,094","91,595","391","2,367","19,478","1,635","17,843","178,687","85,771","1,097","1,042","801","83","82,277","7,616","4,947","2,669"
"Congressional District 29 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","692,267","216,650","123,277","26,575","901","55,387","514","1,187","8,809","286","8,523","475,617","281,872","2,083","2,788","1,617","94","180,132","7,031","3,685","3,346"
"Congressional District 30 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","744,617","516,604","369,421","28,033","950","90,549","895","1,907","24,849","1,364","23,485","228,013","119,184","2,263","1,364","1,308","0","91,043","12,851","8,720","4,131"
"Congressional District 31 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,024","350,918","206,752","75,461","1,466","51,470","1,483","2,324","11,962","1,687","10,275","374,106","255,249","5,778","3,446","1,798","259","91,917","15,659","6,393","9,266"
"Congressional District 32 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,167","270,231","116,296","21,305","2,556","118,674","141","952","10,307","1,214","9,093","435,936","235,780","1,818","2,451","1,642","125","177,913","16,207","11,310","4,897"
"Congressional District 33 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,954","625,506","476,098","19,598","1,213","99,885","684","2,712","25,316","926","24,390","92,448","58,465","795","418","1,059","266","23,212","8,233","4,163","4,070"
"Congressional District 34 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,425","242,805","69,512","29,615","927","130,416","1,975","2,102","8,258","1,665","6,593","469,620","199,932","1,606","5,961","1,508","0","250,681","9,932","6,354","3,578"
"Congressional District 35 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","728,298","236,509","112,929","50,953","799","50,870","4,121","1,009","15,828","491","15,337","491,789","296,747","2,832","3,327","930","138","171,737","16,078","7,846","8,232"
"Congressional District 36 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,653","378,951","311,290","27,869","3,618","18,069","2,618","847","14,640","496","14,144","343,702","175,810","2,351","3,478","1,666","106","146,398","13,893","8,105","5,788"
"Congressional District 37 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,610","448,320","192,786","161,862","422","67,814","1,392","4,608","19,436","1,495","17,941","284,290","117,831","6,418","4,004","419","206","147,151","8,261","6,104","2,157"
"Congressional District 38 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,481","285,753","127,777","29,511","2,109","108,439","3,845","2,512","11,560","2,115","9,445","439,728","297,489","829","3,843","1,178","180","121,785","14,424","8,859","5,565"
"Congressional District 39 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,014","480,578","235,062","15,371","1,363","209,525","2,955","655","15,647","896","14,751","240,436","163,608","1,358","1,062","2,017","691","57,687","14,013","7,018","6,995"
"Congressional District 40 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,451","88,250","35,399","32,387","777","15,284","1,305","736","2,362","115","2,247","630,201","350,775","1,182","2,268","181","0","265,557","10,238","7,298","2,940"
"Congressional District 41 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","734,942","299,014","181,087","63,232","1,956","35,568","2,238","939","13,994","1,262","12,732","435,928","244,773","3,372","3,178","962","39","166,280","17,324","11,678","5,646"
"Congressional District 42 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","746,215","472,854","330,590","39,573","2,900","72,042","1,026","1,977","24,746","1,811","22,935","273,361","171,289","1,056","2,597","1,067","166","81,385","15,801","8,381","7,420"
"Congressional District 43 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,217","386,757","104,962","161,168","701","94,425","2,205","1,661","21,635","952","20,683","343,460","156,001","2,047","2,426","1,141","66","163,456","18,323","4,880","13,443"
"Congressional District 44 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,791","216,440","44,086","115,744","924","40,700","4,039","1,404","9,543","338","9,205","490,351","293,683","2,489","7,144","1,470","99","171,091","14,375","7,862","6,513"
"Congressional District 45 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,706","595,663","392,017","12,804","2,224","161,836","1,311","1,671","23,800","991","22,809","138,043","80,309","1,499","967","846","104","48,027","6,291","2,493","3,798"
"Congressional District 46 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","726,686","245,531","136,385","10,785","417","87,612","2,425","755","7,152","95","7,057","481,155","288,442","1,968","1,855","840","404","179,955","7,691","3,982","3,709"
"Congressional District 47 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,957","466,347","233,100","53,519","2,511","151,051","5,232","831","20,103","976","19,127","255,610","164,340","3,134","8,974","1,053","220","65,324","12,565","5,854","6,711"
"Congressional District 48 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,140","571,566","403,299","6,880","1,210","135,842","2,596","935","20,804","361","20,443","151,574","81,742","333","511","319","386","60,514","7,769","3,758","4,011"
"Congressional District 49 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,823","541,692","446,519","26,065","2,151","41,613","3,467","2,738","19,139","0","19,139","176,131","113,226","1,056","762","351","278","48,424","12,034","7,828","4,206"
"Congressional District 50 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,427","506,848","419,062","17,881","5,732","37,905","1,608","2,710","21,950","503","21,447","223,579","160,831","1,900","2,388","726","109","44,989","12,636","5,859","6,777"
"Congressional District 51 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","743,982","223,612","97,684","50,065","3,839","57,245","2,556","471","11,752","726","11,026","520,370","384,729","1,769","1,496","1,656","272","110,818","19,630","12,663","6,967"
"Congressional District 52 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,904","618,191","423,263","20,150","1,502","144,545","2,037","1,151","25,543","969","24,574","95,713","71,455","1,163","2,197","900","69","13,359","6,570","2,181","4,389"
"Congressional District 53 (113th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","741,909","497,223","310,264","51,323","1,713","97,162","4,957","2,084","29,720","1,304","28,416","244,686","181,516","2,727","2,870","1,735","531","39,647","15,660","5,545","10,115"
"Congressional District 1 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","772,255","553,549","440,366","62,659","3,422","24,659","317","1,396","20,730","134","20,596","218,706","168,846","3,433","2,791","759","619","35,197","7,061","3,223","3,838"
"Congressional District 2 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","755,671","677,097","628,140","6,338","2,621","20,945","665","2,072","16,316","333","15,983","78,574","56,802","888","880","186","104","15,345","4,369","2,488","1,881"
"Congressional District 3 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,617","547,878","514,145","6,544","8,739","4,823","686","1,953","10,988","174","10,814","173,739","118,290","2,428","5,254","281","0","37,341","10,145","4,750","5,395"
"Congressional District 4 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","748,624","584,798","544,709","8,550","3,032","13,096","650","790","13,971","181","13,790","163,826","99,375","424","3,035","240","377","51,275","9,100","6,050","3,050"
"Congressional District 5 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","749,815","637,344","544,662","39,243","2,871","18,993","2,124","559","28,892","99","28,793","112,471","65,408","1,996","1,647","96","573","31,534","11,217","6,535","4,682"
"Congressional District 6 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,338","609,014","471,848","64,440","2,169","43,554","1,240","1,980","23,783","1,188","22,595","156,324","96,387","2,465","1,163","617","0","45,725","9,967","6,844","3,123"
"Congressional District 7 (113th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","755,047","550,262","499,156","9,467","2,587","21,697","937","2,494","13,924","301","13,623","204,785","167,718","680","3,402","906","23","23,487","8,569","3,093","5,476"
"Congressional District 1 (113th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,580","606,129","457,382","101,534","361","31,501","91","1,177","14,083","634","13,449","110,451","50,534","6,945","257","161","0","39,169","13,385","8,837","4,548"
"Congressional District 2 (113th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","714,637","659,687","591,119","24,258","949","22,149","68","1,651","19,493","291","19,202","54,950","31,634","2,828","2,388","0","0","11,793","6,307","1,546","4,761"
"Congressional District 3 (113th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,738","618,221","477,991","94,541","1,997","28,953","0","2,937","11,802","1,700","10,102","98,517","51,892","4,021","201","278","0","37,761","4,364","3,340","1,024"
"Congressional District 4 (113th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,823","602,387","464,872","83,500","640","35,578","236","3,208","14,353","2,081","12,272","133,436","71,817","6,737","929","169","0","46,640","7,144","5,252","1,892"
"Congressional District 5 (113th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,302","582,493","501,736","42,047","182","27,764","150","1,612","9,002","500","8,502","129,809","79,704","4,587","114","1,017","0","39,393","4,994","3,066","1,928"
"Congressional District (at Large) (113th Congress), Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","925,749","844,805","592,064","192,945","3,137","32,952","326","1,746","21,635","460","21,175","80,944","45,542","7,304","818","687","515","21,283","4,795","2,438","2,357"
"Delegate District (at Large) (113th Congress), District of Columbia","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","646,449","580,889","230,264","310,129","857","22,222","104","1,205","16,108","1,556","14,552","65,560","33,816","5,375","415","741","0","20,476","4,737","1,891","2,846"
"Congressional District 1 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,553","685,149","538,091","97,322","3,786","18,345","788","1,053","25,764","292","25,472","44,404","26,338","853","108","290","41","12,783","3,991","2,138","1,853"
"Congressional District 2 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","710,751","671,417","463,688","175,603","3,385","15,170","120","1,532","11,919","448","11,471","39,334","31,406","2,677","531","104","0","3,096","1,520","565","955"
"Congressional District 3 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","707,112","650,137","515,244","93,631","1,406","21,444","1,918","1,353","15,141","826","14,315","56,975","46,734","1,322","122","35","0","5,667","3,095","1,628","1,467"
"Congressional District 4 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","705,007","646,893","507,352","87,466","1,698","32,646","829","620","16,282","212","16,070","58,114","49,279","1,919","791","435","0","3,079","2,611","2,150","461"
"Congressional District 5 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,368","637,860","218,792","376,495","2,166","20,033","95","3,221","17,058","1,530","15,528","91,508","61,685","3,995","235","88","132","18,685","6,688","4,534","2,154"
"Congressional District 6 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,788","670,442","578,106","59,179","1,088","15,997","215","1,984","13,873","813","13,060","52,346","39,710","927","292","197","0","10,554","666","415","251"
"Congressional District 7 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,811","564,854","459,287","64,291","599","24,717","192","599","15,169","1,258","13,911","151,957","119,701","2,434","188","1,273","428","21,451","6,482","3,581","2,901"
"Congressional District 8 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","704,053","636,604","537,092","68,955","1,816","14,308","0","778","13,655","315","13,340","67,449","53,624","3,088","540","373","0","6,533","3,291","2,704","587"
"Congressional District 9 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","768,459","414,537","287,364","74,107","632","33,548","218","2,302","16,366","458","15,908","353,922","283,395","8,485","801","1,027","0","46,573","13,641","6,208","7,433"
"Congressional District 10 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,296","605,595","471,968","86,211","1,720","25,341","31","7,129","13,195","1,233","11,962","126,701","77,989","1,828","2,086","350","486","38,259","5,703","3,116","2,587"
"Congressional District 11 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","715,956","646,642","565,388","62,695","1,863","8,168","124","549","7,855","445","7,410","69,314","57,929","2,293","196","243","0","4,482","4,171","1,288","2,883"
"Congressional District 12 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","719,044","625,242","563,590","29,207","2,009","17,343","201","1,204","11,688","1,015","10,673","93,802","74,934","3,264","336","667","0","8,841","5,760","3,189","2,571"
"Congressional District 13 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","699,288","636,477","551,263","40,848","1,584","24,610","323","1,524","16,325","352","15,973","62,811","50,638","1,744","122","0","0","6,123","4,184","1,981","2,203"
"Congressional District 14 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,381","526,296","304,795","179,582","1,578","21,698","174","3,918","14,551","1,224","13,327","207,085","162,530","6,239","272","203","48","31,636","6,157","2,674","3,483"
"Congressional District 15 (113th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
