"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","695,176","674,591","454,603","193,888","5,004","9,711","46","134","11,205","781","10,424","20,585","16,074","327","220","266","0","2,971","727","585","142"
"Congressional District 2 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","690,074","667,654","432,194","214,853","1,749","6,707","40","908","11,203","1,068","10,135","22,420","13,073","1,260","378","0","52","6,762","895","206","689"
"Congressional District 3 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","697,761","678,708","476,661","177,857","1,626","10,494","339","1,114","10,617","1,148","9,469","19,053","8,830","571","61","159","0","8,642","790","288","502"
"Congressional District 4 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","685,175","642,506","574,175","49,776","4,832","4,266","201","310","8,946","306","8,640","42,669","33,721","160","1,066","0","28","5,179","2,515","2,144","371"
"Congressional District 5 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","701,220","666,763","514,589","120,903","3,865","11,924","173","1,198","14,111","212","13,899","34,457","25,466","748","433","0","256","5,650","1,904","606","1,298"
"Congressional District 6 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","697,436","662,425","534,766","103,633","2,165","11,288","12","878","9,683","238","9,445","35,011","21,010","526","39","127","0","12,408","901","527","374"
"Congressional District 7 (113th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","666,880","651,141","217,536","419,350","787","3,682","374","2,119","7,293","88","7,205","15,739","7,780","250","234","0","0","6,511","964","533","431"
"Congressional District (at Large) (113th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,132","686,631","459,168","24,556","101,922","41,520","8,673","383","50,409","788","49,621","48,501","28,594","521","3,388","255","121","9,125","6,497","1,289","5,208"
"Congressional District 1 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,969","569,074","364,747","14,414","162,815","9,102","1,122","752","16,122","506","15,616","154,895","115,100","1,094","5,418","301","0","24,734","8,248","2,388","5,860"
"Congressional District 2 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","717,970","527,656","448,881","28,420","6,505","21,244","1,287","1,378","19,941","1,563","18,378","190,314","123,507","1,026","3,181","325","43","51,780","10,452","6,739","3,713"
"Congressional District 3 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,963","280,036","203,075","31,405","22,299","11,561","641","1,085","9,970","249","9,721","442,927","346,480","2,664","6,384","156","0","76,675","10,568","5,087","5,481"
"Congressional District 4 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,689","592,415","545,350","14,038","11,137","6,755","2,060","174","12,901","458","12,443","140,274","103,449","752","1,500","685","0","28,599","5,289","2,706","2,583"
"Congressional District 5 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","759,102","631,102","545,565","22,025","5,890","40,162","1,639","341","15,480","532","14,948","128,000","102,353","1,136","1,594","457","0","16,081","6,379","3,196","3,183"
"Congressional District 6 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","737,884","621,072","542,939","20,587","9,513","28,753","160","1,844","17,276","2,557","14,719","116,812","92,281","2,142","733","584","90","16,478","4,504","2,723","1,781"
"Congressional District 7 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","749,222","264,882","150,897","70,572","17,059","13,239","1,214","708","11,193","140","11,053","484,340","345,780","2,839","5,191","792","150","116,130","13,458","7,951","5,507"
"Congressional District 8 (113th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
