"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","693,871","674,345","455,057","194,935","7,041","9,227","112","291","7,682","205","7,477","19,526","14,145","431","74","0","0","4,759","117","112","5"
"Congressional District 2 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","675,534","653,874","418,504","214,946","2,133","4,380","0","1,764","12,147","890","11,257","21,660","14,984","790","716","684","17","3,904","565","285","280"
"Congressional District 3 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","683,940","665,983","429,897","218,330","933","9,253","337","66","7,167","454","6,713","17,957","10,168","2,012","337","0","0","3,722","1,718","732","986"
"Congressional District 4 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","663,272","618,184","568,167","35,839","2,150","2,552","290","54","9,132","320","8,812","45,088","30,243","463","581","0","0","13,144","657","357","300"
"Congressional District 5 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","724,822","693,770","530,723","131,704","7,164","9,262","1,117","479","13,321","505","12,816","31,052","18,056","808","40","250","0","8,528","3,370","1,384","1,986"
"Congressional District 6 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","","","","","","","","","","","","","","","","","","","",""
"Congressional District 7 (112th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","605,148","589,067","198,929","380,924","746","4,724","0","285","3,459","94","3,365","16,081","10,674","853","127","0","0","4,285","142","51","91"
"Congressional District (at Large) (112th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,718","681,091","459,836","21,811","99,791","37,971","7,557","529","53,596","273","53,323","41,627","22,862","1,332","2,502","0","228","8,070","6,633","3,109","3,524"
"Congressional District 1 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,847","624,201","446,756","11,119","145,150","6,910","1,438","274","12,554","169","12,385","158,646","107,278","406","3,953","211","102","35,762","10,934","6,687","4,247"
"Congressional District 2 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","977,812","780,926","687,817","31,807","17,339","22,484","624","243","20,612","407","20,205","196,886","148,771","3,450","3,694","67","185","26,245","14,474","6,329","8,145"
"Congressional District 3 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","744,992","602,881","524,511","23,973","10,192","29,030","396","722","14,057","655","13,402","142,111","109,946","1,403","1,071","204","78","25,551","3,858","2,413","1,445"
"Congressional District 4 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,413","245,710","146,456","59,019","14,027","16,649","2,274","566","6,719","183","6,536","460,703","347,598","2,274","3,330","186","0","100,784","6,531","3,396","3,135"
"Congressional District 5 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","670,825","560,794","464,361","28,411","14,500","32,716","1,902","2,358","16,546","782","15,764","110,031","91,182","1,085","2,095","124","119","11,912","3,514","2,158","1,356"
"Congressional District 6 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","976,065","760,874","659,426","35,972","12,939","30,115","2,062","363","19,997","342","19,655","215,191","161,102","557","2,356","485","351","37,817","12,523","8,698","3,825"
"Congressional District 7 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","848,389","364,480","264,607","33,669","43,745","14,169","280","472","7,538","214","7,324","483,909","341,610","3,120","7,473","446","123","115,754","15,383","7,285","8,098"
"Congressional District 8 (112th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","775,162","593,344","519,406","26,326","5,413","21,753","2,007","1,378","17,061","923","16,138","181,818","120,200","3,349","2,535","1,748","0","41,994","11,992","8,312","3,680"
"Congressional District 1 (112th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","689,463","671,244","540,270","115,443","2,106","3,425","577","325","9,098","264","8,834","18,219","13,193","385","52","156","31","3,678","724","724","0"
"Congressional District 2 (112th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,152","720,764","533,137","161,120","2,537","9,553","194","837","13,386","550","12,836","40,388","24,577","1,611","0","145","0","13,101","954","452","502"
"Congressional District 3 (112th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","835,605","735,472","660,134","22,747","8,495","18,706","5,990","153","19,247","100","19,147","100,133","61,777","533","1,273","35","0","31,465","5,050","2,522","2,528"
"Congressional District 4 (112th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","651,759","620,452","447,917","160,868","2,236","2,322","206","110","6,793","0","6,793","31,307","15,243","657","73","0","281","13,076","1,977","958","1,019"
"Congressional District 1 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,481","536,665","438,483","10,898","15,836","43,083","2,578","1,308","24,479","1,468","23,011","169,816","105,801","1,088","6,253","880","376","45,081","10,337","5,354","4,983"
"Congressional District 2 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,272","568,366","489,511","10,631","9,958","29,002","1,866","1,147","26,251","485","25,766","137,906","85,960","1,127","2,509","81","306","34,832","13,091","6,178","6,913"
"Congressional District 3 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","794,092","662,028","499,925","46,329","4,402","72,084","5,553","4,230","29,505","380","29,125","132,064","61,705","3,143","1,223","1,949","119","53,245","10,680","4,358","6,322"
"Congressional District 4 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,874","687,495","606,170","10,440","5,717","38,150","699","742","25,577","837","24,740","95,379","58,699","47","3,207","614","0","26,325","6,487","3,482","3,005"
"Congressional District 5 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","714,409","520,282","243,023","90,425","5,564","131,078","8,191","2,272","39,729","2,039","37,690","194,127","118,836","4,495","3,627","1,399","355","50,247","15,168","6,177","8,991"
"Congressional District 6 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","670,074","523,189","454,109","13,530","4,267","30,730","1,936","1,729","16,888","560","16,328","146,885","80,075","1,218","2,033","1,145","233","54,223","7,958","5,257","2,701"
"Congressional District 7 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","665,450","466,628","232,451","94,706","2,313","99,482","4,041","3,634","30,001","1,268","28,733","198,822","126,029","1,765","2,225","1,230","311","57,064","10,198","5,275","4,923"
"Congressional District 8 (112th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","679,309","564,355","275,803","42,637","2,304","215,899","3,514","3,564","20,634","759","19,875","114,954","66,085","2,817","487","1,952","178","36,693","6,742","4,321","2,421"
