"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 4 (116th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","688,815","645,010","479,434","127,925","2,158","3,085","2,129","1,419","28,860","8,453","20,407","43,805","11,453","474","507","85","90","19,383","11,813","9,647","2,166"
"Congressional District 1 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","701,063","591,079","505,867","10,713","7,513","21,720","897","3,018","41,351","11,535","29,816","109,984","27,657","365","2,708","1,021","27","26,009","52,197","43,553","8,644"
"Congressional District 2 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,090","579,331","477,949","9,729","11,637","29,590","1,519","9,054","39,853","10,511","29,342","138,759","16,582","1,338","7,655","521","0","58,365","54,298","47,105","7,193"
"Congressional District 3 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","762,445","519,123","324,830","40,866","3,454","93,944","3,761","6,665","45,603","6,875","38,728","243,322","37,422","2,112","6,740","2,594","506","112,874","81,074","67,507","13,567"
"Congressional District 4 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,605","669,443","553,963","8,790","3,912","45,964","686","5,617","50,511","14,011","36,500","113,162","22,333","460","2,779","2,096","67","34,470","50,957","41,777","9,180"
"Congressional District 5 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","710,312","496,917","330,951","41,612","937","79,895","5,388","2,019","36,115","5,419","30,696","213,395","28,181","1,240","9,142","1,993","761","100,002","72,076","58,045","14,031"
"Congressional District 6 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","784,724","553,315","259,603","89,667","1,812","133,320","12,102","5,114","51,697","5,834","45,863","231,409","31,514","5,319","7,885","1,721","57","109,205","75,708","61,601","14,107"
"Congressional District 7 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","789,764","643,052","383,254","60,637","1,109","140,058","5,351","4,095","48,548","8,122","40,426","146,712","22,804","1,686","4,810","1,588","337","58,521","56,966","42,162","14,804"
"Congressional District 8 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
