"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","749,808","613,199","523,591","22,276","11,536","37,055","516","1,062","17,163","273","16,890","136,609","105,585","1,678","2,121","497","203","22,652","3,873","1,894","1,979"
"Congressional District 7 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","769,597","286,300","165,079","73,799","18,393","16,438","1,540","605","10,446","690","9,756","483,297","307,907","4,783","4,148","635","244","150,989","14,591","9,619","4,972"
"Congressional District 8 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","767,981","616,810","530,605","34,660","4,687","26,397","1,358","767","18,336","612","17,724","151,171","123,587","2,234","956","224","0","17,540","6,630","3,333","3,297"
"Congressional District 9 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","777,123","549,061","435,768","36,360","18,777","37,678","1,369","383","18,726","843","17,883","228,062","164,183","1,738","2,303","837","364","47,135","11,502","4,339","7,163"
"Congressional District 1 (114th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,402","700,258","549,920","131,086","2,855","3,594","345","485","11,973","298","11,675","22,144","12,324","349","1,270","0","0","7,320","881","581","300"
"Congressional District 2 (114th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,348","723,075","522,627","170,813","2,558","12,693","174","1,287","12,923","787","12,136","38,273","28,367","1,304","220","348","88","6,589","1,357","1,009","348"
"Congressional District 3 (114th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,717","675,331","590,908","25,783","8,474","21,434","7,022","766","20,944","509","20,435","107,386","70,539","321","183","124","0","32,726","3,493","2,242","1,251"
"Congressional District 4 (114th Congress), Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","711,737","671,797","511,479","138,804","4,334","4,211","10","1,288","11,671","285","11,386","39,940","21,883","1,095","903","0","0","15,081","978","438","540"
"Congressional District 1 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","710,344","617,018","549,013","9,826","12,150","21,051","979","464","23,535","654","22,881","93,326","63,651","196","3,835","182","48","16,991","8,423","4,957","3,466"
"Congressional District 2 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,346","592,677","510,969","10,985","12,406","28,491","528","3,594","25,704","923","24,781","127,669","62,455","421","3,241","780","922","48,767","11,083","6,952","4,131"
"Congressional District 3 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","731,775","512,051","346,918","44,574","4,442","78,842","2,564","1,041","33,670","1,266","32,404","219,724","134,135","1,623","2,366","1,634","201","68,053","11,712","4,699","7,013"
"Congressional District 4 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,313","626,942","550,151","11,484","4,171","34,283","1,281","317","25,255","623","24,632","95,371","64,566","369","1,262","420","168","19,643","8,943","3,736","5,207"
"Congressional District 5 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,412","529,077","363,984","42,059","2,371","84,593","3,238","3,443","29,389","694","28,695","204,335","107,421","772","3,277","2,076","112","74,638","16,039","8,095","7,944"
"Congressional District 6 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","750,843","529,318","274,434","89,216","2,857","113,490","9,148","3,675","36,498","969","35,529","221,525","130,883","1,850","2,408","1,770","39","69,377","15,198","7,627","7,571"
"Congressional District 7 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,069","621,477","403,435","54,034","1,941","118,280","7,354","690","35,743","1,210","34,533","117,592","73,547","2,401","1,409","1,479","239","24,718","13,799","6,671","7,128"
"Congressional District 8 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,399","435,337","330,270","54,652","6,384","20,492","2,249","1,134","20,156","427","19,729","281,062","228,939","2,775","3,007","517","0","33,860","11,964","5,882","6,082"
"Congressional District 9 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","746,779","466,090","262,632","64,806","1,337","104,780","3,850","1,347","27,338","1,391","25,947","280,689","155,300","1,477","2,972","1,968","354","72,192","46,426","10,297","36,129"
"Congressional District 10 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,784","423,555","317,622","22,527","2,871","50,618","4,893","693","24,331","879","23,452","316,229","224,379","1,316","1,871","1,099","539","71,988","15,037","5,700","9,337"
"Congressional District 11 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","752,786","547,806","347,051","62,274","1,801","103,444","3,202","2,677","27,357","345","27,012","204,980","95,757","1,734","1,802","986","5","90,611","14,085","7,225","6,860"
"Congressional District 12 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","749,688","637,764","324,571","38,543","1,101","241,651","2,945","2,085","26,868","944","25,924","111,924","47,960","1,175","1,603","2,062","455","51,432","7,237","3,540","3,697"
"Congressional District 13 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","755,776","586,576","264,278","127,178","2,574","152,029","3,328","2,982","34,207","1,247","32,960","169,200","66,294","4,052","2,827","1,377","160","79,162","15,328","5,871","9,457"
"Congressional District 14 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","757,062","572,898","258,060","21,168","982","252,145","10,020","2,461","28,062","1,443","26,619","184,164","80,986","793","1,367","4,414","488","86,675","9,441","3,970","5,471"
"Congressional District 15 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,800","600,760","251,295","45,359","2,071","258,588","8,667","699","34,081","1,555","32,526","171,040","102,436","1,248","2,985","2,235","221","49,590","12,325","6,330","5,995"
"Congressional District 16 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,625","292,990","165,221","35,730","4,171","70,753","1,675","731","14,709","550","14,159","447,635","281,546","2,601","3,304","1,647","0","144,540","13,997","7,522","6,475"
"Congressional District 17 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","760,444","637,313","187,739","18,171","1,456","401,361","6,288","1,196","21,102","1,027","20,075","123,131","47,896","863","1,044","1,105","1,639","62,480","8,104","4,354","3,750"
"Congressional District 18 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,774","621,000","406,785","12,715","790","167,720","984","2,256","29,750","886","28,864","117,774","64,531","550","1,035","886","135","43,244","7,393","3,250","4,143"
"Congressional District 19 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,143","448,801","192,674","21,438","1,430","204,996","2,412","2,454","23,397","2,071","21,326","316,342","138,991","952","3,008","2,130","566","155,760","14,935","8,845","6,090"
"Congressional District 20 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,752","345,242","270,159","11,805","1,967","37,037","2,069","1,058","21,147","139","21,008","388,510","246,088","761","3,912","729","283","123,908","12,829","6,844","5,985"
"Congressional District 21 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,371","180,994","121,487","26,200","3,579","21,187","1,013","159","7,369","159","7,210","535,377","403,667","1,158","4,816","1,423","703","114,468","9,142","4,982","4,160"
"Congressional District 22 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","741,313","394,972","297,229","24,444","2,601","53,536","620","868","15,674","233","15,441","346,341","247,807","894","2,391","2,521","467","82,329","9,932","4,211","5,721"
"Congressional District 23 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,690","460,499","347,862","49,665","2,856","38,237","1,195","614","20,070","1,512","18,558","278,191","212,548","2,503","2,667","932","778","49,387","9,376","5,687","3,689"
"Congressional District 24 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","736,757","471,763","403,071","13,859","3,190","34,040","1,483","336","15,784","404","15,380","264,994","194,508","1,114","2,321","1,249","131","55,199","10,472","4,406","6,066"
"Congressional District 25 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,316","452,125","308,131","57,559","1,541","64,591","259","1,331","18,713","570","18,143","268,191","163,762","1,870","2,309","894","606","79,693","19,057","8,507","10,550"
"Congressional District 26 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,084","398,889","316,289","12,377","1,789","50,358","1,457","1,307","15,312","331","14,981","326,195","268,694","783","5,806","1,217","106","36,985","12,604","4,738","7,866"
"Congressional District 27 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","733,239","528,306","193,775","33,402","1,371","277,870","1,520","2,611","17,757","1,438","16,319","204,933","87,734","1,670","684","1,902","88","105,417","7,438","2,958","4,480"
"Congressional District 28 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","714,897","541,593","401,642","20,873","1,038","94,546","843","3,311","19,340","885","18,455","173,304","80,055","893","983","2,257","130","80,487","8,499","4,799","3,700"
"Congressional District 29 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,532","224,586","132,879","27,098","597","54,581","466","1,395","7,570","510","7,060","495,946","270,322","1,296","2,986","770","66","212,459","8,047","5,580","2,467"
"Congressional District 30 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,108","548,061","384,583","32,445","1,474","101,169","927","4,934","22,529","713","21,816","223,047","117,612","831","1,010","895","41","93,251","9,407","6,261","3,146"
"Congressional District 31 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,482","356,198","200,431","75,509","1,956","57,817","3,788","1,573","15,124","876","14,248","382,284","254,092","5,066","1,959","2,238","139","101,328","17,462","9,454","8,008"
"Congressional District 32 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","732,927","268,594","119,337","12,697","1,423","123,041","1,195","1,271","9,630","502","9,128","464,333","241,586","1,251","2,779","965","259","203,983","13,510","8,172","5,338"
"Congressional District 33 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,273","624,773","458,115","25,889","1,120","101,244","3,229","3,196","31,980","1,374","30,606","93,500","57,258","1,004","1,619","934","0","25,881","6,804","3,869","2,935"
"Congressional District 34 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,150","263,481","75,521","33,485","1,530","141,387","693","1,305","9,560","690","8,870","471,669","223,156","1,158","9,720","2,632","52","223,611","11,340","5,171","6,169"
"Congressional District 35 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,819","210,798","96,384","43,913","1,531","51,580","920","1,296","15,174","1,199","13,975","529,021","238,508","1,863","3,831","904","122","261,616","22,177","14,839","7,338"
"Congressional District 36 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","750,645","376,472","301,450","33,339","4,499","23,210","1,291","765","11,918","501","11,417","374,173","219,582","2,785","4,678","621","81","135,606","10,820","6,366","4,454"
"Congressional District 37 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","722,781","447,604","182,414","168,770","842","70,178","1,268","3,067","21,065","1,571","19,494","275,177","117,221","2,578","4,374","758","43","142,617","7,586","3,965","3,621"
"Congressional District 38 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","725,433","272,148","118,992","26,656","2,252","110,743","1,661","1,962","9,882","3,194","6,688","453,285","209,124","1,518","3,362","1,066","229","224,788","13,198","10,255","2,943"
"Congressional District 39 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","731,324","475,911","219,155","12,369","1,828","225,540","638","564","15,817","315","15,502","255,413","172,847","366","1,097","805","150","70,067","10,081","6,614","3,467"
"Congressional District 40 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,037","89,295","35,342","32,337","802","17,822","483","606","1,903","0","1,903","631,742","400,483","2,435","2,772","189","276","216,480","9,107","6,073","3,034"
"Congressional District 41 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","745,630","313,338","186,793","67,628","1,981","37,912","2,690","513","15,821","351","15,470","432,292","207,669","1,738","2,803","332","348","205,671","13,731","8,579","5,152"
"Congressional District 42 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","772,860","478,328","330,400","37,852","2,689","77,349","1,918","628","27,492","393","27,099","294,532","175,255","2,725","1,259","1,462","59","99,900","13,872","8,471","5,401"
"Congressional District 43 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","744,444","384,837","100,255","165,932","807","93,356","3,597","2,905","17,985","715","17,270","359,607","138,904","2,372","2,482","974","160","203,324","11,391","6,742","4,649"
"Congressional District 44 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,204","217,744","48,223","105,283","2,412","46,835","6,332","1,099","7,560","618","6,942","494,460","281,706","2,421","9,109","620","598","186,523","13,483","9,077","4,406"
"Congressional District 45 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,550","633,688","396,183","16,640","317","188,229","741","1,424","30,154","1,488","28,666","137,862","80,583","843","421","1,021","268","48,132","6,594","3,620","2,974"
"Congressional District 46 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,410","241,627","129,518","13,198","994","87,740","2,226","1,207","6,744","564","6,180","496,783","310,436","1,117","2,913","1,858","88","174,011","6,360","2,803","3,557"
"Congressional District 47 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,339","457,725","219,737","49,123","4,456","157,562","6,491","1,084","19,272","829","18,443","260,614","175,324","1,765","6,465","815","562","65,177","10,506","6,007","4,499"
"Congressional District 48 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","724,082","577,202","407,795","8,755","2,419","131,488","2,878","2,304","21,563","1,035","20,528","146,880","79,276","561","2,061","600","92","55,080","9,210","5,701","3,509"
"Congressional District 49 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","735,828","546,188","452,393","18,380","1,860","50,002","2,355","1,767","19,431","613","18,818","189,640","140,134","560","1,513","1,247","102","36,957","9,127","4,881","4,246"
"Congressional District 50 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","753,486","516,582","418,673","17,127","5,825","45,890","2,864","2,849","23,354","756","22,598","236,904","169,661","1,858","1,772","1,655","0","48,078","13,880","8,700","5,180"
"Congressional District 51 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","724,812","213,355","94,625","40,629","2,792","63,094","1,424","151","10,640","60","10,580","511,457","369,312","3,817","2,032","2,055","248","120,257","13,736","7,904","5,832"
"Congressional District 52 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","755,498","636,857","434,224","20,832","741","143,186","3,010","1,349","33,515","1,061","32,454","118,641","87,742","1,376","1,821","1,853","366","16,824","8,659","3,002","5,657"
"Congressional District 53 (114th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","776,583","511,048","304,953","70,035","1,481","96,994","4,259","3,065","30,261","423","29,838","265,535","194,803","2,267","1,561","2,818","214","49,269","14,603","5,795","8,808"
"Congressional District 1 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","803,636","581,653","462,987","64,797","3,792","26,488","435","2,120","21,034","580","20,454","221,983","170,049","2,129","3,375","330","111","38,125","7,864","4,015","3,849"
"Congressional District 2 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","782,278","700,129","645,373","6,469","2,081","26,833","966","1,434","16,973","223","16,750","82,149","66,462","165","541","257","0","8,665","6,059","2,549","3,510"
"Congressional District 3 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","737,812","556,389","520,700","7,008","9,484","4,674","1,720","1,507","11,296","137","11,159","181,423","132,649","1,752","6,823","929","68","31,872","7,330","2,939","4,391"
"Congressional District 4 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","787,940","615,900","570,070","9,494","3,165","15,765","549","1,414","15,443","510","14,933","172,040","145,387","566","3,261","380","330","15,219","6,897","4,434","2,463"
"Congressional District 5 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","770,782","649,217","549,927","44,629","2,666","19,789","2,813","2,542","26,851","463","26,388","121,565","73,626","3,156","2,196","454","0","31,972","10,161","4,309","5,852"
"Congressional District 6 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","796,156","632,276","492,279","67,416","1,888","40,091","1,733","3,283","25,586","1,434","24,152","163,880","97,657","2,588","2,792","1,522","0","47,734","11,587","5,653","5,934"
"Congressional District 7 (114th Congress), Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","777,970","556,732","495,907","13,576","3,163","24,944","283","1,600","17,259","494","16,765","221,238","184,317","1,064","3,911","424","128","22,403","8,991","3,241","5,750"
"Congressional District 1 (114th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","711,436","599,154","442,160","105,697","950","34,184","0","2,414","13,749","1,080","12,669","112,282","55,609","5,024","1,967","87","0","39,883","9,712","5,331","4,381"
"Congressional District 2 (114th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","709,647","648,026","576,560","26,814","1,640","22,925","46","497","19,544","661","18,883","61,621","29,325","2,837","1,349","65","0","18,064","9,981","2,573","7,408"
"Congressional District 3 (114th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","720,493","605,220","465,302","91,765","1,101","32,797","70","661","13,524","498","13,026","115,273","60,859","3,664","371","253","51","41,836","8,239","6,256","1,983"
"Congressional District 4 (114th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","736,742","594,042","450,685","86,824","153","39,198","154","2,199","14,829","1,452","13,377","142,700","86,696","8,902","251","201","0","36,879","9,771","5,219","4,552"
"Congressional District 5 (114th Congress), Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","712,568","590,661","505,089","44,369","391","26,506","198","3,604","10,504","700","9,804","121,907","75,658","4,675","720","33","0","34,070","6,751","4,255","2,496"
"Congressional District (at Large) (114th Congress), Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","945,934","860,628","596,375","200,433","2,397","35,950","265","3,242","21,966","1,056","20,910","85,306","58,529","3,430","724","164","69","15,915","6,475","2,444","4,031"
"Delegate District (at Large) (114th Congress), District of Columbia","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","672,228","601,099","241,855","312,914","959","25,633","367","2,976","16,395","1,023","15,372","71,129","27,288","5,917","702","311","108","31,821","4,982","2,560","2,422"
"Congressional District 1 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","750,928","703,519","551,659","96,488","2,007","16,725","562","865","35,213","605","34,608","47,409","27,306","1,794","113","292","5","13,689","4,210","2,441","1,769"
"Congressional District 2 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,173","675,931","463,685","177,676","2,350","14,280","664","956","16,320","254","16,066","42,242","34,285","1,980","253","54","0","3,641","2,029","717","1,312"
"Congressional District 3 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","721,105","660,149","520,528","97,631","1,781","23,695","476","1,001","15,037","1,295","13,742","60,956","48,705","1,166","369","185","264","5,310","4,957","2,042","2,915"
"Congressional District 4 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,304","677,992","512,604","108,092","799","35,057","175","726","20,539","69","20,470","62,312","47,796","3,167","238","459","0","7,059","3,593","1,422","2,171"
"Congressional District 5 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","743,735","637,415","234,560","364,560","2,065","17,826","946","2,055","15,403","1,559","13,844","106,320","73,812","4,155","354","566","0","23,637","3,796","2,253","1,543"
"Congressional District 6 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","755,981","696,898","595,298","70,003","2,234","16,856","477","906","11,124","201","10,923","59,083","45,176","2,869","248","514","0","8,310","1,966","1,517","449"
"Congressional District 7 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,367","580,647","465,382","68,679","977","26,235","613","3,715","15,046","393","14,653","157,720","130,402","6,686","202","368","25","13,636","6,401","2,832","3,569"
"Congressional District 8 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","730,746","656,803","552,546","69,424","2,062","15,233","995","773","15,770","278","15,492","73,943","61,939","1,388","142","135","0","6,755","3,584","1,366","2,218"
"Congressional District 9 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","819,676","420,187","281,847","86,146","259","33,039","340","5,668","12,888","1,114","11,774","399,489","320,147","7,911","1,742","1,317","0","55,863","12,509","5,611","6,898"
"Congressional District 10 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","788,192","636,136","481,528","95,995","1,483","34,088","575","5,818","16,649","731","15,918","152,056","111,827","2,451","130","414","910","28,913","7,411","4,134","3,277"
"Congressional District 11 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,907","667,496","585,559","57,808","1,261","10,560","138","1,720","10,450","77","10,373","73,411","60,969","2,425","297","0","309","6,457","2,954","876","2,078"
"Congressional District 12 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","747,779","645,647","570,895","35,708","2,216","21,078","489","1,645","13,616","660","12,956","102,132","86,255","3,613","863","280","0","6,649","4,472","1,936","2,536"
"Congressional District 13 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","716,429","644,218","560,525","37,618","1,675","27,468","774","1,716","14,442","1,201","13,241","72,211","60,898","1,460","646","502","0","4,942","3,763","1,804","1,959"
"Congressional District 14 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","765,377","538,777","305,644","192,188","1,389","18,476","584","3,140","17,356","1,960","15,396","226,600","168,481","9,880","1,590","379","0","37,829","8,441","3,424","5,017"
"Congressional District 15 (114th Congress), Florida","","","","","","","","","","","","","","","","","","","","",""
