"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Congressional District 1 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","706,302","685,001","459,077","198,856","7,576","8,928","0","2,145","8,419","62","8,357","21,301","14,610","1,043","310","98","0","3,399","1,841","1,355","486"
"Congressional District 2 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","686,622","666,090","427,396","216,982","1,696","6,608","303","382","12,723","296","12,427","20,532","14,185","1,056","7","153","63","4,250","818","619","199"
"Congressional District 3 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","703,986","682,882","479,091","176,836","1,627","10,658","92","295","14,283","288","13,995","21,104","13,638","1,009","41","138","0","5,267","1,011","665","346"
"Congressional District 4 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","684,685","641,287","574,436","48,879","2,623","2,811","713","274","11,551","105","11,446","43,398","30,078","730","683","0","1,761","8,717","1,429","814","615"
"Congressional District 5 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","708,972","673,126","516,031","123,324","3,320","11,638","315","1,177","17,321","182","17,139","35,846","28,803","897","160","86","58","4,176","1,666","1,088","578"
"Congressional District 6 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","700,691","671,371","538,323","108,578","1,348","13,495","140","156","9,331","63","9,268","29,320","14,958","294","152","0","0","13,079","837","345","492"
"Congressional District 7 (114th Congress), Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","667,721","646,352","209,722","423,226","879","4,780","1,003","1,161","5,581","163","5,418","21,369","9,565","1,588","81","0","0","9,627","508","309","199"
"Congressional District (at Large) (114th Congress), Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,432","686,607","452,472","24,739","98,300","45,753","6,341","2,201","56,801","590","56,211","51,825","28,842","1,437","2,833","1,542","421","10,266","6,484","2,581","3,903"
"Congressional District 1 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","759,663","585,947","367,186","17,414","172,010","12,557","740","705","15,335","148","15,187","173,716","115,559","1,481","5,458","723","0","39,912","10,583","4,998","5,585"
"Congressional District 2 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","713,631","514,917","442,634","28,137","4,082","21,173","1,369","1,557","15,965","233","15,732","198,714","143,838","1,516","2,620","824","199","38,722","10,995","3,564","7,431"
"Congressional District 3 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,488","304,519","221,280","34,009","25,450","12,041","510","430","10,799","219","10,580","456,969","311,546","2,970","11,220","1,222","0","116,999","13,012","6,939","6,073"
"Congressional District 4 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,374","605,389","558,619","11,222","11,107","7,539","295","722","15,885","458","15,427","133,985","100,811","707","2,632","1,047","266","23,090","5,432","3,508","1,924"
"Congressional District 5 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","789,400","653,512","557,501","24,841","10,090","40,044","2,266","720","18,050","285","17,765","135,888","110,715","860","879","625","45","17,641","5,123","3,296","1,827"
"Congressional District 6 (114th Congress), Arizona","","","","","","","","","","","","","","","","","","","","",""
