Education<9th,HSNoDiploma,HSGraduate,SomeCollege,Associates,Bachelors,Graduate,MedianEarnings,year,state_po,district
3.5,7.3,31.7,16.9,7.1,20.4,13.1,58728.96,2012,PA,13
2.4,7.6,36.2,18.6,8.0,14.8,12.4,44336.159999999996,2012,PA,14
4.7,8.5,35.5,17.1,7.7,16.4,10.0,51024.96,2012,PA,15
7.0,9.5,37.2,15.8,6.0,16.1,8.4,48778.56,2012,PA,16
4.2,8.2,43.0,15.6,7.9,13.4,7.7,50865.119999999995,2012,PA,17
1.7,4.0,32.3,17.1,9.2,22.8,12.8,56900.159999999996,2012,PA,18
3.4,7.2,40.8,15.9,7.5,16.1,9.1,50758.56,2012,PA,19
6.9,8.8,25.3,18.7,8.0,18.9,13.4,55493.28,2012,RI,1
6.0,8.8,27.4,19.1,8.7,18.8,11.3,56661.119999999995,2012,RI,2
3.6,7.4,28.9,21.5,9.1,19.7,9.7,45154.08,2012,SC,1
3.6,7.6,27.1,22.7,9.2,18.3,11.5,46419.84,2012,SC,2
6.8,12.1,33.0,19.3,8.5,13.5,6.9,43403.04,2012,SC,3
5.9,9.5,29.0,21.2,8.7,16.5,9.2,45594.72,2012,SC,4
6.6,12.3,32.8,20.1,8.1,13.6,6.5,43378.56,2012,SC,5
7.8,14.1,34.6,19.5,7.3,10.8,5.9,36796.32,2012,SC,6
4.1,5.3,31.4,23.1,9.7,18.2,8.1,45426.24,2012,SD,0
8.2,10.3,38.1,19.5,5.7,11.4,6.6,38630.88,2012,TN,1
4.9,7.9,30.9,20.7,8.1,16.7,10.6,45501.119999999995,2012,TN,2
6.7,10.1,33.6,22.9,6.0,13.0,7.8,43665.119999999995,2012,TN,3
9.2,12.2,39.7,17.7,6.1,10.4,4.7,39257.28,2012,TN,4
4.7,9.5,27.4,20.9,5.3,21.2,11.0,45614.88,2012,TN,5
5.7,9.0,35.2,22.1,6.6,14.4,6.9,46483.2,2012,TN,6
3.9,6.7,27.3,21.8,5.7,22.4,12.2,56604.96,2012,TN,7
6.2,11.4,40.3,21.5,5.2,9.9,5.4,39188.159999999996,2012,TN,8
5.6,10.5,28.8,23.6,5.1,17.1,9.3,43092.0,2012,TN,9
7.4,9.8,30.1,26.1,7.1,13.1,6.4,44210.88,2012,TX,1
5.4,8.6,27.8,25.4,8.4,16.5,7.9,55221.119999999995,2012,TX,2
6.3,6.7,17.1,20.5,6.6,28.4,14.4,60665.759999999995,2012,TX,3
4.9,8.8,29.3,24.5,7.3,17.6,7.5,51380.64,2012,TX,4
7.6,12.2,30.3,23.9,6.1,13.7,6.1,46612.799999999996,2012,TX,5
6.5,8.1,27.8,25.7,7.1,17.4,7.5,50529.6,2012,TX,6
4.5,4.1,17.0,20.5,5.8,28.9,19.2,67500.0,2012,TX,7
5.5,9.8,31.4,24.9,6.1,15.1,7.3,52786.079999999994,2012,TX,8
17.5,10.8,24.7,21.3,5.1,14.4,6.2,36908.64,2012,TX,9
5.4,6.2,22.9,22.1,7.6,24.3,11.5,56136.96,2012,TX,10
10.4,10.6,29.5,24.6,5.9,13.3,5.8,44386.56,2012,TX,11
7.8,10.1,26.2,25.0,5.7,17.5,7.8,50676.479999999996,2012,TX,12
6.9,10.8,30.4,24.8,7.5,13.5,6.1,44582.4,2012,TX,13
6.8,8.6,26.3,23.5,8.6,17.8,8.3,53520.479999999996,2012,TX,14
20.4,12.8,26.5,19.0,5.3,11.8,4.2,32916.96,2012,TX,15
16.3,9.2,23.6,22.5,7.2,14.1,7.0,37635.84,2012,TX,16
6.8,10.0,28.9,24.8,6.8,14.0,8.7,44902.08,2012,TX,17
15.0,14.4,27.7,17.8,4.9,12.9,7.3,39791.52,2012,TX,18
9.2,10.4,29.2,24.0,6.1,14.5,6.5,42261.119999999995,2012,TX,19
12.7,11.8,27.6,25.0,6.6,10.8,5.6,37333.439999999995,2012,TX,20
4.2,4.4,19.3,23.5,7.6,26.8,14.3,54652.32,2012,TX,21
5.3,6.7,22.3,23.7,7.3,23.0,11.7,62902.079999999994,2012,TX,22
12.1,10.6,25.9,19.8,6.4,16.5,8.7,43758.72,2012,TX,23
5.0,6.9,20.8,22.7,7.3,26.4,11.0,57830.4,2012,TX,24
9.0,8.3,22.8,21.1,5.9,22.3,10.7,45846.72,2012,TX,25
5.3,6.7,23.2,23.7,7.7,23.6,9.8,57201.119999999995,2012,TX,26
16.2,10.9,26.3,22.2,6.3,11.9,6.3,37827.36,2012,TX,27
20.7,13.4,25.7,19.1,5.5,10.7,4.9,33383.52,2012,TX,28
25.3,18.3,28.6,15.9,3.8,5.8,2.3,35065.44,2012,TX,29
14.8,14.9,27.2,19.3,4.7,12.5,6.7,42252.479999999996,2012,TX,30
4.6,5.7,26.5,25.4,8.4,20.0,9.4,52460.64,2012,TX,31
12.7,8.8,18.7,17.9,4.1,23.2,14.7,49792.32,2012,TX,32
3.9,6.5,24.7,27.2,8.3,19.9,9.5,49170.24,2012,UT,1
1.9,5.4,22.1,27.0,9.7,21.6,12.2,49452.479999999996,2012,UT,2
3.7,7.6,24.5,28.8,9.6,18.6,7.2,45646.56,2012,UT,3
2.8,5.5,30.2,17.8,8.4,21.4,14.0,48461.759999999995,2012,VT,0
3.3,6.1,28.5,22.2,7.5,19.3,13.0,59577.119999999995,2012,VA,1
2.4,5.6,25.0,27.0,9.6,19.0,11.4,53444.159999999996,2012,VA,2
5.0,12.0,30.0,24.1,6.8,14.3,7.8,43912.799999999996,2012,VA,3
5.4,9.6,31.1,22.7,7.3,15.4,8.4,53213.759999999995,2012,VA,4
7.1,10.4,31.7,19.0,7.3,14.1,10.4,44726.4,2012,VA,5
5.6,9.5,33.2,19.6,6.9,16.3,8.9,45203.04,2012,VA,6
4.0,6.7,25.1,20.5,6.3,23.5,13.9,57666.24,2012,VA,7
4.4,4.2,12.9,12.4,4.5,30.9,30.7,86067.36,2012,VA,8
8.7,10.8,34.5,19.5,8.7,11.2,6.7,42789.6,2012,VA,9
4.3,4.2,18.5,18.1,6.5,27.6,20.8,78053.76,2012,VA,10
3.4,3.8,15.8,17.8,6.7,28.9,23.6,79171.2,2012,VA,11
2.0,4.0,19.0,23.7,10.0,27.4,13.9,65648.16,2012,WA,1
3.6,5.6,25.7,28.0,11.0,17.1,9.0,51602.4,2012,WA,2
3.2,6.5,24.8,28.8,10.2,16.6,10.0,51516.0,2012,WA,3
12.5,8.1,26.7,22.3,8.7,13.9,7.9,42624.0,2012,WA,4
2.8,5.4,26.8,26.2,11.2,17.3,10.2,45050.4,2012,WA,5
3.1,6.5,28.5,27.9,10.2,15.0,8.8,48965.759999999995,2012,WA,6
4.3,4.8,13.2,17.3,7.6,31.6,21.2,59084.64,2012,WA,7
2.9,3.7,21.1,21.9,9.2,25.8,15.3,72334.08,2012,WA,8
4.0,6.4,30.1,26.8,9.5,15.4,7.9,54288.0,2012,WA,9
4.0,8.2,41.7,18.9,6.8,12.9,7.5,43005.6,2012,WV,1
5.2,9.5,41.8,17.4,6.4,12.3,7.5,42904.799999999996,2012,WV,2
8.4,12.3,41.4,16.8,5.9,9.7,5.4,42557.76,2012,WV,3
2.9,6.7,34.0,22.8,8.8,16.9,7.9,52642.079999999994,2012,WI,1
2.3,4.8,25.7,20.5,9.7,22.1,14.9,52463.52,2012,WI,2
3.6,5.5,35.0,21.1,11.4,15.5,7.9,45599.04,2012,WI,3
6.7,11.4,30.7,22.9,6.0,15.2,7.2,40914.72,2012,WI,4
1.6,3.7,24.7,20.6,9.4,26.7,13.4,60026.399999999994,2012,WI,5
3.6,6.6,38.1,20.7,9.7,14.6,6.7,47232.0,2012,WI,6
3.6,6.3,39.6,20.4,10.6,12.9,6.5,43917.119999999995,2012,WI,7
3.5,5.8,36.8,21.3,10.3,15.1,7.2,45948.96,2012,WI,8
1.8,6.2,30.8,26.6,9.9,16.5,8.3,51890.4,2012,WY,0
4.0,9.3,32.6,22.1,9.2,15.7,7.2,41749.14,2014,AL,1
5.4,10.8,32.9,22.5,7.9,12.5,7.9,42156.24,2014,AL,2
5.3,11.5,32.7,22.5,7.1,12.2,8.9,43374.78,2014,AL,3
7.3,12.5,33.5,21.7,9.0,9.8,6.1,40675.5,2014,AL,4
4.7,9.5,27.3,20.7,8.3,19.1,10.5,47260.85999999999,2014,AL,5
3.1,7.6,26.1,21.7,6.7,21.3,13.4,56179.799999999996,2014,AL,6
4.6,13.0,32.5,23.2,7.8,12.3,6.7,37283.46,2014,AL,7
3.1,5.3,27.9,27.5,8.3,18.2,9.8,58030.38,2014,AK,0
6.2,8.6,26.5,26.9,8.9,13.9,8.9,44050.979999999996,2014,AZ,1
4.3,6.1,21.1,27.2,8.6,18.6,14.0,43463.1,2014,AZ,2
11.9,13.0,29.0,23.5,7.4,9.8,5.4,38758.68,2014,AZ,3
5.3,8.3,31.9,28.5,8.7,10.8,6.5,39866.82,2014,AZ,4
3.0,4.7,21.2,26.0,9.9,22.4,12.7,57755.759999999995,2014,AZ,5
2.8,4.0,19.9,23.1,8.5,26.2,15.4,57188.579999999994,2014,AZ,6
18.3,15.1,27.4,20.3,5.7,9.0,4.2,34759.439999999995,2014,AZ,7
2.8,5.6,26.8,26.8,9.6,18.3,10.1,53757.899999999994,2014,AZ,8
5.5,6.2,20.1,22.4,9.8,22.3,13.7,49551.659999999996,2014,AZ,9
6.5,12.0,38.3,21.8,6.2,10.5,4.6,37835.46,2014,AR,1
3.2,8.7,31.7,23.0,6.4,17.0,10.0,45461.34,2014,AR,2
7.2,9.1,31.7,21.2,5.6,15.8,9.3,42611.64,2014,AR,3
5.3,10.3,39.5,23.6,6.2,10.3,4.8,38949.119999999995,2014,AR,4
4.1,7.9,24.9,30.4,10.2,14.7,7.9,43078.079999999994,2014,CA,1
4.8,4.8,18.8,24.9,8.0,23.5,15.2,53360.46,2014,CA,2
8.2,8.2,24.2,26.6,8.9,14.9,8.9,45204.659999999996,2014,CA,3
2.2,5.0,22.6,28.3,10.1,20.7,11.1,56544.119999999995,2014,CA,4
7.4,6.1,21.3,26.1,9.7,19.7,9.8,52696.67999999999,2014,CA,5
8.4,8.2,24.6,24.9,8.5,16.6,8.8,44754.78,2014,CA,6
4.7,5.3,22.0,25.5,10.9,20.7,10.9,55680.24,2014,CA,7
6.3,10.6,29.8,29.3,9.6,8.6,5.8,44814.119999999995,2014,CA,8
11.3,9.4,25.0,25.5,9.9,13.7,5.3,44295.24,2014,CA,9
11.3,9.6,28.5,26.0,8.1,11.2,5.3,46550.159999999996,2014,CA,10
6.6,5.8,17.6,21.4,7.5,26.4,14.7,62596.799999999996,2014,CA,11
7.7,5.4,12.0,15.7,5.2,31.9,22.2,71674.43999999999,2014,CA,12
8.6,6.3,15.7,18.7,6.0,23.9,20.8,55419.42,2014,CA,13
7.0,3.9,18.2,19.0,8.0,27.2,16.5,63482.759999999995,2014,CA,14
6.4,5.2,20.6,20.2,7.2,25.7,14.7,67726.26,2014,CA,15
20.2,13.5,23.8,23.8,6.4,8.1,4.3,33546.42,2014,CA,16
4.6,4.3,15.3,15.0,6.5,28.9,25.3,84929.34,2014,CA,17
3.3,3.5,10.9,15.7,6.6,29.9,30.1,90768.12,2014,CA,18
12.0,9.3,19.7,20.2,7.8,19.8,11.2,56413.02,2014,CA,19
14.8,8.5,20.6,22.1,8.1,15.6,10.3,43069.799999999996,2014,CA,20
26.0,14.9,26.0,19.1,5.6,5.9,2.4,30547.679999999997,2014,CA,21
12.5,8.8,22.6,23.5,9.0,14.9,8.6,44164.14,2014,CA,22
8.0,10.5,27.1,27.7,8.5,12.2,6.0,49388.82,2014,CA,23
9.6,7.5,17.1,25.4,8.4,19.8,12.2,48878.219999999994,2014,CA,24
7.2,8.3,22.2,26.8,8.3,17.7,9.5,57946.2,2014,CA,25
10.6,7.6,19.4,22.8,8.0,19.0,12.6,52249.56,2014,CA,26
8.9,5.9,17.1,17.6,9.0,25.4,16.1,55786.49999999999,2014,CA,27
8.9,5.2,15.8,18.6,6.9,30.1,14.5,50385.17999999999,2014,CA,28
20.7,13.5,23.8,18.0,5.6,13.8,4.4,35174.82,2014,CA,29
6.6,5.7,19.4,21.0,7.3,26.6,13.3,56658.659999999996,2014,CA,30
8.9,11.4,22.9,24.7,8.1,14.9,9.1,45749.759999999995,2014,CA,31
14.7,10.6,28.2,19.3,7.3,14.6,5.2,41987.88,2014,CA,32
2.1,2.4,10.9,16.0,7.0,35.0,26.6,83542.43999999999,2014,CA,33
23.7,14.6,19.6,14.3,5.4,16.5,5.9,30012.239999999998,2014,CA,34
17.3,13.7,25.5,21.9,6.7,10.9,4.0,40300.14,2014,CA,35
9.0,12.1,26.5,24.9,6.9,12.6,7.9,37415.939999999995,2014,CA,36
12.1,8.4,17.3,19.3,6.0,22.1,14.8,44395.979999999996,2014,CA,37
11.6,10.4,25.9,22.0,8.6,15.1,6.5,45613.14,2014,CA,38
6.4,5.5,18.5,22.1,8.4,26.5,12.7,56647.619999999995,2014,CA,39
30.2,18.0,23.3,14.5,5.5,6.1,2.3,30387.6,2014,CA,40
13.6,12.4,26.4,23.5,7.1,10.8,6.2,42131.399999999994,2014,CA,41
6.0,8.0,25.3,26.9,9.4,16.3,8.0,56527.56,2014,CA,42
14.4,9.9,22.5,21.3,8.0,16.9,7.0,41427.6,2014,CA,43
23.1,15.2,24.0,20.3,5.5,8.5,3.4,35021.64,2014,CA,44
3.4,3.1,14.7,19.8,8.2,30.9,20.0,72404.45999999999,2014,CA,45
21.0,14.3,23.3,19.7,5.1,12.1,4.6,36564.479999999996,2014,CA,46
10.2,8.2,20.3,24.0,8.6,18.7,10.0,50272.02,2014,CA,47
5.6,5.1,15.0,21.1,9.4,28.6,15.1,66673.31999999999,2014,CA,48
5.7,4.9,17.1,20.3,11.7,24.7,15.7,58567.2,2014,CA,49
8.4,8.6,23.7,24.2,10.7,16.2,8.1,48482.159999999996,2014,CA,50
17.5,14.3,24.7,22.4,7.6,9.8,3.6,36234.659999999996,2014,CA,51
2.5,2.9,12.3,20.2,7.0,31.5,23.6,70923.72,2014,CA,52
5.3,5.6,20.3,25.7,8.6,21.6,13.0,52486.92,2014,CA,53
5.7,6.7,18.7,19.3,5.6,27.2,16.7,52816.74,2014,CO,1
1.6,3.1,16.1,20.5,7.2,29.8,21.6,56875.31999999999,2014,CO,2
4.1,6.5,28.2,23.3,8.2,19.5,10.3,43530.719999999994,2014,CO,3
4.5,6.1,23.6,23.8,8.7,22.7,10.5,52353.06,2014,CO,4
1.9,5.3,20.8,27.0,11.1,20.7,13.1,48584.28,2014,CO,5
3.7,5.0,20.3,22.5,8.3,25.7,14.5,55242.78,2014,CO,6
4.2,7.4,24.2,23.7,9.1,20.8,10.6,52974.06,2014,CO,7
4.6,6.8,27.6,17.8,7.3,20.4,15.4,60800.03999999999,2014,CT,1
2.8,5.5,30.3,19.8,8.7,18.3,14.7,58041.42,2014,CT,2
4.0,5.7,30.5,17.4,7.5,19.3,15.7,57993.119999999995,2014,CT,3
5.4,5.4,20.0,15.4,5.5,26.2,22.0,67535.81999999999,2014,CT,4
5.6,5.9,28.3,17.8,8.3,19.0,15.1,57581.88,2014,CT,5
3.9,7.7,31.2,19.7,7.7,17.2,12.6,51485.03999999999,2014,DE,0
3.3,8.2,27.3,24.0,11.9,16.3,9.0,42814.5,2014,FL,1
4.3,10.4,28.8,21.7,8.6,15.4,10.8,43323.719999999994,2014,FL,2
3.9,8.9,30.7,22.8,9.9,14.2,9.5,42912.479999999996,2014,FL,3
3.1,5.3,27.3,23.3,10.6,20.7,9.8,50120.219999999994,2014,FL,4
6.0,12.4,34.4,22.3,8.0,11.7,5.2,34642.14,2014,FL,5
2.8,6.8,30.1,24.1,9.2,17.1,10.0,42964.92,2014,FL,6
2.6,5.2,25.0,21.9,10.3,24.0,11.0,46682.64,2014,FL,7
2.8,7.1,28.7,23.1,11.9,16.6,9.8,42014.1,2014,FL,8
5.8,10.1,29.6,21.5,9.2,16.9,6.8,38599.979999999996,2014,FL,9
4.0,7.0,28.9,20.4,9.4,21.5,8.8,43697.7,2014,FL,10
3.6,9.0,35.5,22.6,9.5,13.0,6.9,36717.659999999996,2014,FL,11
3.2,6.5,29.8,21.3,10.8,18.6,9.8,48854.759999999995,2014,FL,12
3.7,6.8,30.3,20.7,10.6,18.0,9.8,44506.38,2014,FL,13
5.4,9.2,30.2,19.2,8.3,18.0,9.6,42875.219999999994,2014,FL,14
5.0,8.1,31.1,19.3,9.5,17.0,10.0,44455.32,2014,FL,15
3.6,6.2,30.2,20.9,8.3,18.6,12.2,41579.399999999994,2014,FL,16
7.1,10.0,34.9,21.7,8.1,11.9,6.3,38543.399999999994,2014,FL,17
4.3,5.8,29.5,20.6,10.8,18.4,10.6,44364.24,2014,FL,18
5.1,7.2,28.3,20.6,8.0,19.1,11.6,39592.2,2014,FL,19
8.7,10.7,34.0,19.7,8.2,12.9,5.8,34851.899999999994,2014,FL,20
3.9,5.2,26.0,21.3,10.1,21.0,12.4,49477.14,2014,FL,21
6.0,5.7,23.7,20.3,8.5,22.7,13.0,47329.85999999999,2014,FL,22
4.7,4.9,23.5,19.5,9.8,23.1,14.4,49535.1,2014,FL,23
9.6,10.9,31.5,18.8,8.0,14.0,7.1,35908.979999999996,2014,FL,24
9.8,9.5,30.9,16.1,10.1,14.9,8.8,37668.479999999996,2014,FL,25
8.7,8.3,29.4,16.3,9.3,19.2,8.8,42763.439999999995,2014,FL,26
12.2,8.5,26.3,15.1,8.8,17.5,11.6,38504.759999999995,2014,FL,27
3.7,8.6,31.0,24.2,7.1,15.8,9.5,42488.82,2014,GA,1
7.2,13.3,32.8,23.4,6.6,10.1,6.6,35078.219999999994,2014,GA,2
4.4,9.1,32.4,22.8,7.0,15.3,9.1,48809.219999999994,2014,GA,3
6.7,7.4,25.1,22.8,8.8,18.7,10.6,43937.82,2014,GA,4
3.4,8.1,23.6,18.2,5.7,23.9,17.0,49053.479999999996,2014,GA,5
4.4,2.9,13.3,15.8,6.6,35.4,21.6,64290.06,2014,GA,6
6.1,6.1,21.4,20.8,8.5,25.2,11.9,50767.439999999995,2014,GA,7
5.1,11.8,35.6,20.4,9.0,11.0,7.1,42034.799999999996,2014,GA,8
8.6,10.7,33.1,20.1,7.2,13.0,7.4,41170.92,2014,GA,9
4.6,10.9,33.2,21.3,6.8,14.1,9.1,43773.6,2014,GA,10
4.5,5.7,24.7,20.3,7.3,25.2,12.2,53157.6,2014,GA,11
6.1,11.1,32.8,21.3,7.9,12.5,8.3,42047.219999999994,2014,GA,12
4.8,7.5,29.2,24.6,8.5,15.8,9.5,44492.579999999994,2014,GA,13
8.3,13.2,34.1,21.4,6.3,10.3,6.4,42506.759999999995,2014,GA,14
4.7,5.4,24.5,20.7,9.9,22.9,11.9,56541.35999999999,2014,HI,1
3.1,4.8,30.5,23.3,11.0,18.5,8.8,46833.06,2014,HI,2
3.6,6.2,28.6,28.2,8.7,17.0,7.7,42734.46,2014,ID,1
5.0,6.4,26.2,25.0,9.5,19.2,8.7,41193.0,2014,ID,2
4.3,7.7,28.8,24.8,8.6,15.8,10.0,50059.49999999999,2014,IL,1
4.6,7.9,29.9,27.5,8.3,13.7,8.1,44520.17999999999,2014,IL,2
9.1,7.5,30.5,20.6,7.0,15.5,9.8,50020.85999999999,2014,IL,3
20.3,12.0,26.8,15.5,5.7,13.0,6.8,37640.88,2014,IL,4
5.0,4.2,19.0,15.2,5.8,31.2,19.6,65493.42,2014,IL,5
2.3,3.6,17.8,19.1,7.1,30.3,19.9,70513.86,2014,IL,6
5.2,9.9,22.9,17.8,5.3,20.0,18.8,57483.899999999994,2014,IL,7
7.4,6.8,24.9,21.1,7.5,21.1,11.2,51610.619999999995,2014,IL,8
4.8,3.8,18.0,16.0,5.4,30.0,22.0,57932.399999999994,2014,IL,9
7.1,4.8,20.7,18.5,6.0,25.2,17.7,56951.219999999994,2014,IL,10
7.7,7.1,22.6,20.3,6.9,22.8,12.6,55204.13999999999,2014,IL,11
3.2,7.8,31.9,25.3,9.8,13.5,8.5,46541.88,2014,IL,12
2.7,5.7,32.1,22.6,7.3,18.0,11.7,44753.399999999994,2014,IL,13
2.8,3.9,24.4,22.8,8.4,23.8,13.9,64001.63999999999,2014,IL,14
4.6,7.3,35.9,23.1,11.1,11.9,6.0,44148.96,2014,IL,15
3.1,6.2,35.2,25.2,8.7,14.0,7.6,48752.64,2014,IL,16
4.3,9.3,35.5,23.1,9.5,12.7,5.6,42310.799999999996,2014,IL,17
2.1,5.2,30.7,21.9,8.8,20.7,10.6,52842.96,2014,IL,18
4.0,7.6,35.9,23.8,8.2,13.3,7.2,49260.479999999996,2014,IN,1
5.6,9.8,36.1,20.6,7.6,13.0,7.2,41838.84,2014,IN,2
5.1,8.4,35.0,21.6,8.8,13.5,7.6,44351.82,2014,IN,3
3.2,7.6,35.9,21.2,8.3,15.0,8.7,48817.49999999999,2014,IN,4
2.4,5.0,23.7,19.6,7.1,26.3,16.0,56879.46,2014,IN,5
4.4,9.1,38.1,20.0,8.5,12.5,7.4,43819.14,2014,IN,6
5.7,11.5,31.6,23.4,6.8,14.0,7.0,39680.52,2014,IN,7
3.6,8.2,37.1,20.9,10.0,13.4,6.9,43964.03999999999,2014,IN,8
3.1,7.9,35.6,20.7,8.2,15.3,9.2,47306.399999999994,2014,IN,9
3.3,5.1,35.2,21.1,11.5,15.9,7.9,48827.159999999996,2014,IA,1
3.1,5.5,32.1,20.5,11.0,17.9,10.0,48698.82,2014,IA,2
2.5,5.0,29.4,22.0,9.8,22.5,8.8,51171.78,2014,IA,3
3.7,5.6,34.4,21.8,12.0,15.8,6.7,44703.719999999994,2014,IA,4
5.5,6.5,30.0,25.8,8.4,15.9,7.9,43283.7,2014,KS,1
2.9,6.3,31.1,25.2,7.4,16.3,10.8,46194.119999999995,2014,KS,2
3.8,4.7,18.5,20.6,7.7,28.2,16.5,56385.42,2014,KS,3
4.0,6.3,27.3,26.9,7.7,19.2,8.7,46692.299999999996,2014,KS,4
7.8,10.9,36.7,21.4,7.6,9.0,6.5,39070.56,2014,KY,1
5.9,8.4,37.2,20.7,8.0,11.5,8.3,43503.119999999995,2014,KY,2
3.7,8.1,27.7,22.5,7.8,17.5,12.8,48549.78,2014,KY,3
3.9,7.4,32.1,21.9,8.4,16.7,9.6,48638.1,2014,KY,4
12.4,13.0,37.5,17.8,5.9,7.3,6.1,37945.86,2014,KY,5
5.8,8.1,27.9,20.3,7.8,17.7,12.4,44482.92,2014,KY,6
5.8,8.8,29.9,22.7,5.3,17.4,10.1,50485.92,2014,LA,1
6.3,12.6,31.8,21.6,5.7,13.7,8.1,41936.82,2014,LA,2
7.4,11.8,34.1,20.8,5.9,13.5,6.5,48553.92,2014,LA,3
5.0,11.4,35.7,21.7,5.7,13.9,6.5,43479.659999999996,2014,LA,4
5.9,14.1,38.3,20.8,4.4,11.5,5.1,39121.619999999995,2014,LA,5
4.6,7.9,32.1,21.4,5.5,19.4,9.2,56722.13999999999,2014,LA,6
2.5,4.1,29.3,19.9,9.7,22.1,12.4,47071.799999999996,2014,ME,1
3.4,6.3,38.6,20.5,9.5,13.9,7.8,40741.74,2014,ME,2
3.1,7.4,31.5,20.3,7.5,18.1,12.2,57465.96,2014,MD,1
3.6,8.4,30.1,21.3,7.2,17.4,12.0,58166.99999999999,2014,MD,2
3.2,5.5,21.4,17.9,6.1,24.7,21.2,68693.64,2014,MD,3
7.5,7.4,26.5,22.6,5.6,17.8,12.6,58038.659999999996,2014,MD,4
3.2,5.8,27.6,24.1,6.3,19.7,13.3,71415.0,2014,MD,5
3.6,5.9,24.6,18.2,6.6,21.8,19.2,61753.619999999995,2014,MD,6
4.0,9.7,25.5,19.1,5.6,18.8,17.3,58271.88,2014,MD,7
4.8,4.1,18.4,15.1,5.3,23.6,28.6,71644.07999999999,2014,MD,8
5.6,7.6,31.4,18.0,9.7,16.0,11.8,52234.38,2014,MA,1
3.7,5.2,28.5,17.1,8.6,20.7,16.3,57893.759999999995,2014,MA,2
6.1,5.8,27.6,16.5,7.9,21.0,15.1,57724.02,2014,MA,3
3.4,3.9,21.6,14.9,7.8,24.9,23.5,71319.78,2014,MA,4
3.9,3.5,20.1,12.5,5.4,27.5,27.0,70882.31999999999,2014,MA,5
3.3,3.8,25.3,16.6,8.7,25.6,16.6,66317.28,2014,MA,6
9.2,7.4,24.5,14.3,4.3,21.3,19.0,52001.159999999996,2014,MA,7
3.7,4.4,25.6,15.2,7.8,25.6,17.8,69053.81999999999,2014,MA,8
5.6,5.4,28.5,19.3,9.1,19.5,12.6,55859.63999999999,2014,MA,9
2.6,6.4,35.6,23.0,9.4,14.6,8.3,37515.299999999996,2014,MI,1
3.4,7.3,31.8,23.7,9.7,16.8,7.2,43765.32,2014,MI,2
3.9,6.1,27.6,23.0,9.5,18.7,11.2,45308.159999999996,2014,MI,3
3.0,7.4,35.2,24.1,10.1,13.1,7.2,41190.24,2014,MI,4
3.2,8.8,33.4,26.2,9.9,11.4,7.2,39864.06,2014,MI,5
3.6,6.6,31.2,23.6,9.3,15.8,9.8,43664.579999999994,2014,MI,6
2.4,6.7,32.9,25.8,9.0,14.9,8.3,46225.85999999999,2014,MI,7
1.4,4.3,22.1,24.6,9.0,22.7,15.8,56087.34,2014,MI,8
3.9,7.9,27.9,22.8,8.7,17.8,11.0,50037.42,2014,MI,9
3.5,6.5,32.8,24.1,11.0,14.4,7.8,49288.079999999994,2014,MI,10
2.0,3.6,20.2,20.4,8.4,26.6,18.9,65010.42,2014,MI,11
3.6,7.2,25.9,22.9,7.6,17.2,15.5,52168.14,2014,MI,12
5.6,13.6,32.6,27.0,7.0,8.8,5.5,36945.36,2014,MI,13
4.3,10.3,26.3,24.3,6.4,15.7,12.8,44271.78,2014,MI,14
3.7,4.8,31.0,22.2,12.0,17.7,8.6,49477.14,2014,MN,1
2.1,3.7,23.8,21.4,11.4,25.5,12.0,59847.84,2014,MN,2
1.8,2.7,18.6,20.7,9.5,31.6,15.0,65122.2,2014,MN,3
4.2,3.9,21.5,19.4,8.6,26.0,16.3,55728.53999999999,2014,MN,4
5.0,5.1,20.2,19.1,7.6,27.5,15.4,52482.78,2014,MN,5
1.7,4.3,28.5,25.2,12.4,19.9,8.0,57574.979999999996,2014,MN,6
3.9,5.5,33.5,23.0,13.2,15.1,5.8,45230.88,2014,MN,7
2.3,5.7,34.2,24.7,10.8,15.2,7.2,43806.719999999994,2014,MN,8
7.1,11.9,31.3,23.1,8.6,11.8,6.2,41631.84,2014,MS,1
7.4,13.6,29.9,22.4,7.7,11.9,7.0,36031.799999999996,2014,MS,2
5.2,10.5,29.8,21.1,8.6,15.4,9.5,42956.64,2014,MS,3
5.7,9.4,31.4,25.2,8.8,12.3,7.3,41761.56,2014,MS,4
3.8,9.1,24.5,24.7,8.0,17.4,12.4,43423.079999999994,2014,MO,1
1.6,3.6,19.2,19.9,7.0,30.0,18.7,63384.77999999999,2014,MO,2
3.3,7.0,34.1,21.8,10.3,16.3,7.2,48276.53999999999,2014,MO,3
4.2,7.9,34.2,22.4,7.9,14.3,9.0,42069.299999999996,2014,MO,4
3.3,7.8,32.0,24.6,7.0,16.0,9.3,44387.7,2014,MO,5
3.1,6.2,35.8,22.0,7.1,16.9,8.9,47274.659999999996,2014,MO,6
3.5,7.9,34.3,24.9,6.7,14.6,8.1,41482.799999999996,2014,MO,7
6.6,12.0,38.9,21.0,6.5,9.2,5.8,37743.0,2014,MO,8
2.2,5.1,29.1,26.2,8.5,19.7,9.3,41783.64,2014,MT,0
3.0,5.0,27.5,23.3,11.2,20.2,9.9,47345.03999999999,2014,NE,1
4.8,5.5,21.0,24.2,7.6,23.8,13.1,50364.479999999996,2014,NE,2
5.2,5.7,33.0,24.3,10.7,14.8,6.3,42735.84,2014,NE,3
