MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad
41221.35,2012,ID,2,27.2,72.8
51625.74,2012,IL,1,26.3,73.60000000000001
47172.96,2012,IL,2,20.9,79.1
52119.24,2012,IL,3,25.0,75.0
37128.119999999995,2012,IL,4,19.0,81.0
64927.67999999999,2012,IL,5,49.599999999999994,50.5
71957.94,2012,IL,6,50.400000000000006,49.39999999999999
56834.28,2012,IL,7,38.0,61.9
53274.03,2012,IL,8,32.9,67.30000000000001
58747.649999999994,2012,IL,9,51.3,48.699999999999996
57401.1,2012,IL,10,42.3,57.8
56277.329999999994,2012,IL,11,34.1,65.9
44073.78,2012,IL,12,21.6,78.4
45784.11,2012,IL,13,29.0,71.0
64018.229999999996,2012,IL,14,38.6,61.5
44761.86,2012,IL,15,17.8,82.2
49399.35,2012,IL,16,20.5,79.5
42989.49,2012,IL,17,17.0,83.1
52836.93,2012,IL,18,30.6,69.39999999999999
49321.799999999996,2012,IN,1,20.4,79.6
43398.39,2012,IN,2,20.5,79.5
45277.92,2012,IN,3,21.4,78.6
47705.939999999995,2012,IN,4,22.799999999999997,77.10000000000001
57344.7,2012,IN,5,42.4,57.699999999999996
43805.88,2012,IN,6,18.1,81.9
42127.979999999996,2012,IN,7,22.1,77.9
43683.21,2012,IN,8,18.9,81.1
45358.29,2012,IN,9,23.6,76.3
47421.119999999995,2012,IA,1,25.3,74.60000000000001
47841.299999999996,2012,IA,2,26.900000000000002,72.99999999999999
53279.67,2012,IA,3,31.3,68.69999999999999
43944.06,2012,IA,4,21.5,78.5
43322.25,2012,KS,1,22.700000000000003,77.4
44203.5,2012,KS,2,27.3,72.8
57647.85,2012,KS,3,44.0,56.099999999999994
45936.39,2012,KS,4,27.0,73.10000000000001
39931.2,2012,KY,1,15.3,84.7
43994.82,2012,KY,2,18.299999999999997,81.6
45086.159999999996,2012,KY,3,30.0,70.0
51402.96,2012,KY,4,26.0,74.10000000000001
36676.92,2012,KY,5,11.5,88.49999999999999
45158.07,2012,KY,6,29.6,70.4
50590.799999999996,2012,LA,1,27.8,72.3
42318.329999999994,2012,LA,2,20.9,78.99999999999999
44489.729999999996,2012,LA,3,18.7,81.30000000000001
44082.24,2012,LA,4,19.200000000000003,80.89999999999999
39573.06,2012,LA,5,17.0,82.89999999999999
53255.7,2012,LA,6,27.8,72.1
48066.899999999994,2012,ME,1,34.6,65.3
42263.34,2012,ME,2,21.200000000000003,78.89999999999999
57606.96,2012,MD,1,29.1,70.9
58782.899999999994,2012,MD,2,28.6,71.39999999999999
67076.51999999999,2012,MD,3,46.1,53.900000000000006
59909.49,2012,MD,4,30.6,69.3
72830.73,2012,MD,5,33.4,66.6
62705.52,2012,MD,6,38.7,61.300000000000004
58562.939999999995,2012,MD,7,35.599999999999994,64.4
72534.62999999999,2012,MD,8,52.3,47.7
53429.13,2012,MA,1,28.2,71.9
58732.14,2012,MA,2,36.0,64.0
59377.92,2012,MA,3,35.3,64.69999999999999
73071.84,2012,MA,4,48.6,51.4
69742.83,2012,MA,5,52.2,47.7
68275.01999999999,2012,MA,6,40.0,59.9
52203.84,2012,MA,7,38.7,61.300000000000004
66176.94,2012,MA,8,41.7,58.300000000000004
54702.35999999999,2012,MA,9,32.099999999999994,67.9
37200.03,2012,MI,1,22.299999999999997,77.7
43621.17,2012,MI,2,22.7,77.30000000000001
45476.729999999996,2012,MI,3,28.2,71.8
42481.89,2012,MI,4,20.1,80.0
39839.549999999996,2012,MI,5,17.9,82.19999999999999
44347.32,2012,MI,6,25.1,74.9
45581.07,2012,MI,7,22.200000000000003,77.80000000000001
56923.10999999999,2012,MI,8,38.2,61.9
51123.78,2012,MI,9,27.6,72.4
49727.88,2012,MI,10,21.4,78.6
65158.92,2012,MI,11,44.1,55.99999999999999
50273.549999999996,2012,MI,12,31.0,69.10000000000001
37631.49,2012,MI,13,13.600000000000001,86.5
44742.119999999995,2012,MI,14,29.400000000000002,70.5
